bond_id,bond_nm,list_dt,price,premium_rt,ytm_rt,curr_iss_amt,turnover_rt,year_left,stock_id,stock_nm,market_cd
128100,搜特转债,2020-04-09,25.201,-12.34,73.88,7.963,316.96,2.816,002503,*ST搜特,szmb
113585,寿仙转债,2020-07-07,193.877,0.03,-15.61,0.853,45.01,3.06,603896,寿仙谷,shmb
110077,洪城转债,2020-12-17,133.748,0.07,-4.77,17.609,3.61,3.51,600461,洪城环境,shmb
123148,上能转债,2022-07-01,142.434,0.15,,1.6,59.82,,300827,上能电气,szcy
127058,科伦转债,2022-04-20,199.378,0.22,-11.33,20.825,3.93,4.838,002422,科伦药业,szmb
110057,现代转债,2019-04-30,128.645,0.28,-9.09,5.457,9.04,1.871,600420,国药现代,shmb
110053,苏银转债,2019-04-03,129.009,0.54,-6.44,161.52,2.29,1.822,600919,江苏银行,shmb
110061,川投转债,2019-12-02,174.452,0.66,-17.39,34.81,3.68,2.485,600674,川投能源,shmb
113044,大秦转债,2021-01-15,116.873,0.78,-0.86,299.872,0.88,3.575,601006,大秦铁路,shmb
127028,英特转债,2021-03-10,134.22,0.96,-4.87,5.757,7.66,3.636,000411,英特集团,szmb
113534,鼎胜转债,2019-04-30,227.5,1.12,-31.48,3.921,9.16,1.893,603876,鼎胜新材,shmb
128081,海亮转债,2019-12-16,127.116,1.65,-4.54,27.864,1.13,2.515,002203,海亮股份,szmb
123118,惠城转债,2021-07-26,287.88,2.0,-19.21,1.84,301.98,4.137,300779,惠城环保,szcy
123092,天壕转债,2021-01-15,235.816,2.29,-17.31,4.142,2.72,3.603,300332,天壕环境,szcy
110083,苏租转债,2021-12-10,130.936,3.08,-3.8,47.649,0.89,4.488,600901,江苏金租,shmb
110068,龙净转债,2020-04-15,166.601,3.5,-12.82,18.76,3.95,2.849,600388,ST龙净,shmb
123136,城市转债,2022-02-15,142.48,3.92,-3.59,3.372,168.08,4.682,300778,新城市,szcy
128091,新天转债,2020-01-17,184.0,5.34,-16.06,1.526,19.72,2.622,002873,新天药业,szmb
118021,新致转债,2022-11-02,143.66,5.59,-3.65,4.849,41.28,5.367,688590,新致软件,shkc
113057,中银转债,2022-05-10,129.246,5.8,-3.35,57.158,3.47,4.855,601881,中国银河,shmb
123150,九强转债,2022-07-20,135.794,5.88,-3.15,11.389,2.54,5.123,300406,九强生物,szcy
123098,一品转债,2021-02-23,199.09,6.22,-12.39,4.047,12.36,3.701,300723,一品红,szcy
128083,新北转债,2019-12-31,129.944,6.28,-5.27,8.768,20.03,2.573,002376,新北洋,szmb
110052,贵广转债,2019-03-29,151.547,6.3,-14.33,2.883,181.88,1.8,600996,贵广网络,shmb
127069,小熊转债,2022-09-07,157.924,6.61,-5.03,5.08,4.83,5.241,002959,小熊电器,szmb
113025,明泰转债,2019-05-07,180.857,7.39,-22.5,9.84,3.91,1.896,601677,明泰铝业,shmb
127006,敖东转债,2018-05-11,124.489,7.83,-19.05,24.064,1.37,0.822,000623,吉林敖东,szmb
110084,贵燃转债,2022-01-18,125.503,8.04,-1.95,9.994,6.12,4.614,600903,贵州燃气,shmb
123156,博汇转债,2022-09-02,135.919,8.46,-2.19,3.97,8.24,5.252,300839,博汇股份,szcy
128128,齐翔转2,2020-09-15,126.932,8.61,-3.21,6.795,1.45,3.258,002408,齐翔腾达,szmb
128017,金禾转债,2017-11-27,127.007,9.15,-36.11,5.516,4.47,0.458,002597,金禾实业,szmb
127063,贵轮转债,2022-05-30,127.815,9.49,-2.19,17.996,1.7,4.932,000589,贵州轮胎,szmb
113646,永吉转债,2022-05-17,140.25,9.5,-4.36,1.385,36.75,4.912,603058,永吉股份,shmb
123025,精测转债,2019-04-19,239.569,9.83,-33.09,3.086,97.67,1.863,300567,精测电子,szcy
127065,瑞鹄转债,2022-07-27,161.093,9.89,-5.51,4.392,12.03,5.101,002997,瑞鹄模具,szmb
113021,中信转债,2019-03-19,120.605,10.15,-3.04,397.92,1.16,1.795,601998,中信银行,shmb
113537,文灿转债,2019-07-05,232.213,10.17,-28.02,1.234,31.02,2.063,603348,文灿股份,shmb
113615,金诚转债,2021-01-14,272.589,10.64,-21.35,7.638,5.2,3.6,603979,金诚信,shmb
113595,花王转债,2020-08-18,111.859,10.87,3.38,2.707,108.97,3.175,603007,ST花王,shmb
113631,皖天转债,2021-12-10,125.573,10.99,-2.11,9.299,5.23,4.479,603689,皖天然气,shmb
123176,精测转2,2023-03-22,183.45,11.09,-7.63,12.76,14.63,5.795,300567,精测电子,szcy
128087,孚日转债,2020-01-16,121.574,11.15,-3.41,6.444,6.11,2.586,002083,孚日股份,szmb
123067,斯莱转债,2020-10-15,144.749,11.16,-5.58,2.395,10.58,3.334,300382,斯莱克,szcy
123014,凯发转债,2018-08-21,134.45,11.19,-110.21,1.16,28.06,0.192,300407,凯发电气,szcy
128121,宏川转债,2020-08-07,128.718,11.56,-4.31,6.699,2.1,3.164,002930,宏川智慧,szmb
128025,特一转债,2017-12-28,197.85,11.66,-83.95,2.115,148.61,0.553,002728,特一药业,szmb
113594,淳中转债,2020-08-28,144.976,12.05,-5.86,2.997,56.18,3.175,603516,淳中科技,shmb
128111,中矿转债,2020-07-07,573.936,12.27,,1.1,102.38,3.066,002738,中矿资源,szmb
113582,火炬转债,2020-06-23,167.799,12.39,-12.14,4.175,5.64,3.027,603678,火炬电子,shmb
123164,法本转债,2022-11-14,141.574,12.53,-2.83,6.006,21.38,5.433,300925,法本信息,szcy
110043,无锡转债,2018-03-14,115.22,12.62,-11.37,29.213,0.97,0.704,600908,无锡银行,shmb
123063,大禹转债,2020-08-20,124.691,12.95,0.21,6.346,2.44,3.195,300021,大禹节水,szcy
