bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
123075,贝斯转债,bszz,159.656,4.01,300580,贝斯特,bst,37.76,9.93,3.45,23.560,160.27,0,-0.38,159.28,280203,szcy,C,2020-11-23,N,0,0,buy,AA-,,16.49,30.63,8.5,buy,2026-11-01,3.373,5.996,185258.19,19309.2,190.74,-9.55,,0,,,14:00:39,00,,Y,N,0,0,Y,,2021-05-06 开始转股,计算使用3.4年期 评级为AA- 债参考YTM：5.9037,N,6.0,全价：159.656 最后更新：14:00:39,,,,,buy
123098,一品转债,ypzz,178.817,-1.14,300723,一品红,yph,29.91,-0.7,6.01,16.840,177.61,0,0.68,179.5,370102,szcy,C,2021-02-23,N,0,0,buy,AA-,,11.79,21.89,6.8,buy,2027-01-28,3.614,4.022,14380.63,8013.47,19.85,-10.01,,0,,,14:00:39,00,,Y,N,0,0,Y,,2021-08-03 开始转股,计算使用3.7年期 评级为AA- 债参考YTM：5.9524,N,4.8,全价：178.817 最后更新：14:00:39,,,,,buy
110061,川投转债,ctzz,169.782,0.57,600674,川投能源,ctny,14.69,1.24,1.88,8.800,166.93,0,1.71,171.49,410102,shmb,C,2019-12-02,N,0,0,buy,AAA,,6.16,11.44,5.3,buy,2025-11-10,2.397,34.8,7566.76,9354.26,1.28,-17.03,,0,本次（2022年11月16日至2022年12月9日）不提前赎回，以2023年12月10日为首个交易日重新起算,G,13:59:59,00,R,Y,N,0,0,Y,,2020-05-15 开始转股,计算使用2.4年期 评级为AAA 债参考YTM：2.6850,N,40.0,全价：169.782 最后更新：13:59:59,,,,,buy
123092,天壕转债,thzz,226.43,-0.73,300332,天壕环境,thhj,11.44,-1.12,2.4,5.140,222.57,0,1.73,228.16,410301,szcy,C,2021-01-15,N,0,0,buy,A+,,3.6,6.68,4.3,buy,2026-12-23,3.515,4.132,2751.74,3433.87,2.92,-16.74,,0,本次（2023年1月1日至2023年1月30日）不提前赎回，以2023年7月1日后首个交易日重新计算,G,14:00:15,00,R,Y,N,0,0,Y,,2021-06-30 开始转股,计算使用3.6年期 评级为A+ 债参考YTM：8.3672,N,4.23,全价：226.430 最后更新：14:00:15,,,,,buy
123118,惠城转债,hczz,328.92,-1.05,300779,惠城环保,hchb,55.01,-1.27,6.97,17.060,322.45,0,2.01,330.93,760103,szcy,C,2021-07-26,N,0,0,buy,A+,,11.94,22.18,3.5,buy,2027-07-06,4.049,1.808,33311.01,11608.47,55.23,-22.23,,0,本次（2023年3月13日至2023年3月31日）不提前赎回，自2023年6月30日后首个交易日重新计算,G,14:00:39,00,,Y,N,0,0,Y,,2022-01-13 开始转股,计算使用4.1年期 评级为A+ 债参考YTM：8.4536,N,3.2,全价：328.920 最后更新：14:00:39,,,,,buy
110053,苏银转债,syzz,125.7,-0.44,600919,江苏银行,jsyh,7.35,-0.81,0.5,5.970,123.12,0,2.1,127.8,480401,shmb,C,2019-04-03,N,0,0,buy,AAA,,,7.76,15.0,buy,2025-03-13,1.734,161.511,16110.44,39802.67,0.79,-5.33,,0,,,14:00:37,00,R,Y,N,0,0,N,2023-06-19 起暂停转股：权益分派,2019-09-20 开始转股;2023-06-19 起暂停转股：权益分派,计算使用1.8年期 评级为AAA 债参考YTM：2.6119,N,200.0,全价：125.700 最后更新：14:00:37,,,,,buy
127065,瑞鹄转债,rhzz,181.7,1.96,002997,瑞鹄模具,rhmj,30.79,3.53,4.11,17.360,177.36,0,2.45,184.15,280205,szmb,C,2022-07-27,N,0,0,buy,A+,,12.15,22.57,12.5,buy,2028-06-22,5.014,4.392,40724.63,14458.67,50.98,-7.89,,0,本次（2022年12月28日至2023年1月18日）不提前赎回，以2023年7月18日之后的首个交易日重新起算,G,14:00:36,00,R,Y,N,0,0,Y,,2022-12-28 开始转股,计算使用5.1年期 评级为A+ 债参考YTM：8.5701,N,4.398,全价：181.700 最后更新：14:00:36,,,,,buy
127058,科伦转债,klzz,192.593,-0.47,002422,科伦药业,klyy,30.1,-0.13,2.69,16.040,187.66,0,2.63,195.22,370102,szmb,C,2022-04-20,N,0,0,buy,AA+,,11.23,20.85,5.7,buy,2028-03-18,4.751,20.342,14837.69,20797.58,3.75,-10.88,,0,本次（2022年9月29日至2022年10月28日）不提前赎回，至2023年10月28日均不行使提前赎回权利,G,14:00:36,00,R,Y,N,0,0,Y,,2022-09-26 开始转股,计算使用4.8年期 评级为AA+ 债参考YTM：3.3347,N,30.0,全价：192.593 最后更新：14:00:36,,,,,buy
128081,海亮转债,hlzz,128.056,-0.41,002203,海亮股份,hlgf,11.96,-0.66,1.82,9.620,124.32,0,3.01,131.07,240302,szmb,C,2019-12-16,N,0,0,buy,AA,,6.73,12.51,12.1,buy,2025-11-21,2.427,27.861,2685.09,2329.63,0.75,-5.0,,0,,,14:00:36,00,R,Y,N,0,0,Y,,2020-05-27 开始转股,计算使用2.5年期 评级为AA 债参考YTM：3.2000,N,31.5,全价：128.056 最后更新：14:00:36,,,,,buy
127069,小熊转债,xxzz,162.439,-3.89,002959,小熊电器,xxdq,84.85,-6.76,5.25,54.440,155.86,0,4.22,166.66,330301,szmb,C,2022-09-07,N,0,0,buy,AA-,,38.11,70.77,3.8,buy,2028-08-12,5.153,5.08,27250.3,20069.83,32.58,-5.65,,0,本次（2023年3月30日至2023年5月8日）不提前赎回，以2023年11月8日后首个交易日重新计算,G,14:00:36,00,,Y,N,0,0,Y,,2023-02-20 开始转股,计算使用5.2年期 评级为AA- 债参考YTM：6.1568,N,5.36,全价：162.439 最后更新：14:00:36,,,,,buy
