bond_id,bond_nm,list_dt,price,premium_rt,ytm_rt,curr_iss_amt,turnover_rt,year_left,stock_id,stock_nm,market_cd
110057,现代转债,2019-04-30,128.892,-0.35,,3.293,31.21,,600420,国药现代,shmb
123118,惠城转债,2021-07-26,324.789,0.38,-21.8,1.809,151.38,4.088,300779,惠城环保,szcy
127058,科伦转债,2022-04-20,194.105,0.63,-10.94,20.342,3.32,4.789,002422,科伦药业,szmb
123092,天壕转债,2021-01-15,231.889,0.67,-17.14,4.132,3.0,3.553,300332,天壕环境,szcy
110061,川投转债,2019-12-02,167.319,0.99,-16.27,34.8,1.76,2.436,600674,川投能源,shmb
110053,苏银转债,2019-04-03,126.803,1.47,-5.69,161.511,0.88,1.773,600919,江苏银行,shmb
113016,小康转债,2017-11-21,134.199,1.53,,2.004,261.49,,601127,赛力斯,shmb
128081,海亮转债,2019-12-16,127.685,1.77,-4.81,27.864,0.88,2.466,002203,海亮股份,szmb
123098,一品转债,2021-02-23,190.888,1.89,-11.52,4.047,8.42,3.652,300723,一品红,szcy
123150,九强转债,2022-07-20,133.825,2.13,-2.9,11.211,3.64,5.074,300406,九强生物,szcy
128114,正邦转债,2020-07-15,64.37,2.21,21.5,11.758,22.22,3.033,002157,*ST正邦,szmb
123136,城市转债,2022-02-15,129.415,2.4,,1.824,62.42,,300778,新城市,szcy
127028,英特转债,2021-03-10,130.792,2.9,-4.24,5.757,2.75,3.586,000411,英特集团,szmb
110083,苏租转债,2021-12-10,129.899,3.23,-3.66,47.649,0.42,4.438,600901,江苏金租,shmb
123156,博汇转债,2022-09-02,135.764,3.52,-2.19,3.97,4.2,5.203,300839,博汇股份,szcy
113044,大秦转债,2021-01-15,115.001,3.7,-0.41,299.872,0.63,3.526,601006,大秦铁路,shmb
113534,鼎胜转债,2019-04-30,235.834,4.46,-33.48,3.919,12.7,1.844,603876,鼎胜新材,shmb
110068,龙净转债,2020-04-15,174.576,5.16,-14.49,18.759,4.17,2.8,600388,ST龙净,shmb
128025,特一转债,2017-12-28,204.313,5.34,-95.47,2.113,87.19,0.504,002728,特一药业,szmb
127069,小熊转债,2022-09-07,158.336,5.68,-5.13,5.08,7.59,5.192,002959,小熊电器,szmb
