,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,2929.03,3632.83,2200.75,4498.22,3753.12,6915.27,20896.09,1577.88,2247.40,8684.53,2347.48,2255.49,2660.67,2280.56,10236.64,2735.79,5531.57,2240.69,8385.68,1455.42,5027.52,821.21,2586.91,3240.14,1530.73,5222.43,1448.64,2518.09,2279.55,1762.88,6026.53
close,2950.40,3664.71,2196.14,4505.77,3796.11,7120.58,21434.53,1600.77,2293.39,8658.21,2314.19,2255.52,2664.08,2309.72,10328.36,2749.12,5602.65,2225.66,8456.60,1450.66,5041.20,821.51,2616.93,3205.32,1524.41,5393.34,1470.99,2538.10,2276.20,1758.17,6160.08
low,2916.86,3611.27,2189.59,4468.27,3752.99,6901.11,20840.14,1567.88,2235.10,8585.41,2314.03,2238.74,2637.82,2272.13,10193.31,2718.57,5479.30,2211.79,8310.99,1450.39,5026.54,819.34,2586.85,3199.96,1517.64,5216.87,1444.69,2510.35,2266.26,1744.39,5977.28
high,2959.38,3679.04,2205.76,4524.46,3812.19,7164.90,21579.48,1601.85,2298.26,8685.51,2356.45,2265.64,2684.83,2321.49,10403.99,2761.23,5643.59,2240.69,8504.44,1461.96,5080.35,831.24,2628.96,3240.14,1531.73,5405.20,1474.61,2545.76,2297.32,1764.02,6178.12
amount,11948.45,22240.39,3487.63,23157.10,91306.59,19022.37,33658.04,6736.66,13697.71,53176.76,19754.99,15051.00,13123.71,15754.97,15109.70,1893.78,9490.18,21817.56,60695.39,20367.48,116237.27,80499.04,58162.79,16058.91,23854.41,48126.64,46716.82,5872.71,7106.61,5867.71,4030.77
number,1386.27,2081.79,838.33,1751.20,5400.87,1545.66,941.45,929.87,1186.38,3086.46,2638.30,2078.08,2523.64,1477.50,1681.83,312.95,820.02,2736.48,3455.46,1166.01,6186.32,6581.40,3060.03,3021.73,2344.07,3835.92,3657.45,899.58,1019.27,750.54,189.38
