bond_id,bond_nm,list_dt,price,premium_rt,ytm_rt,curr_iss_amt,turnover_rt,year_left,stock_id,stock_nm,market_cd
128114,正邦转债,2020-07-15,67.4,-1.22,19.63,11.757,183.68,3.03,002157,*ST正邦,szmb
123118,惠城转债,2021-07-26,344.0,-0.13,-22.92,1.808,408.46,4.085,300779,惠城环保,szcy
110057,现代转债,2019-04-30,120.333,-0.06,,2.419,17.55,,600420,国药现代,shmb
123136,城市转债,2022-02-15,133.722,-0.04,,1.824,1658.46,,300778,新城市,szcy
127058,科伦转债,2022-04-20,189.065,0.52,-10.45,20.342,4.3,4.786,002422,科伦药业,szmb
123150,九强转债,2022-07-20,134.25,0.74,-2.96,11.211,11.69,5.071,300406,九强生物,szcy
113016,小康转债,2017-11-21,129.039,1.0,,2.004,112.68,,601127,赛力斯,shmb
110061,川投转债,2019-12-02,167.229,1.21,-16.27,34.8,2.08,2.433,600674,川投能源,shmb
110053,苏银转债,2019-04-03,126.706,1.53,-5.65,161.511,0.74,1.77,600919,江苏银行,shmb
123092,天壕转债,2021-01-15,229.245,1.58,-16.87,4.132,3.85,3.551,300332,天壕环境,szcy
127069,小熊转债,2022-09-07,160.1,1.8,-5.34,5.08,33.0,5.189,002959,小熊电器,szmb
113534,鼎胜转债,2019-04-30,237.797,2.1,-33.83,3.919,22.08,1.841,603876,鼎胜新材,shmb
123098,一品转债,2021-02-23,188.0,2.46,-11.15,4.047,8.88,3.649,300723,一品红,szcy
128081,海亮转债,2019-12-16,127.347,2.69,-4.71,27.864,0.8,2.463,002203,海亮股份,szmb
123156,博汇转债,2022-09-02,134.37,3.64,-1.99,3.97,5.13,5.2,300839,博汇股份,szcy
113044,大秦转债,2021-01-15,114.935,3.78,-0.39,299.872,0.81,3.523,601006,大秦铁路,shmb
110083,苏租转债,2021-12-10,128.726,4.09,-3.47,47.649,0.51,4.436,600901,江苏金租,shmb
127028,英特转债,2021-03-10,129.169,5.06,-3.9,5.757,4.63,3.584,000411,英特集团,szmb
123164,法本转债,2022-11-14,144.583,5.28,-3.25,6.006,17.95,5.381,300925,法本信息,szcy
128025,特一转债,2017-12-28,200.151,5.39,-93.89,2.113,98.57,0.501,002728,特一药业,szmb
110068,龙净转债,2020-04-15,173.967,5.87,-14.39,18.759,2.03,2.797,600388,ST龙净,shmb
110084,贵燃转债,2022-01-18,128.02,6.51,-2.4,9.181,14.03,4.562,600903,贵州燃气,shmb
113595,花王转债,2020-08-18,104.963,7.36,5.62,2.707,48.33,3.123,603007,ST花王,shmb
123075,贝斯转债,2020-11-23,135.333,8.52,-4.88,5.996,13.32,3.408,300580,贝斯特,szcy
128083,新北转债,2019-12-31,130.499,8.61,-5.54,8.768,3.82,2.521,002376,新北洋,szmb
128111,中矿转债,2020-07-07,555.232,8.69,-39.78,1.1,49.3,3.014,002738,中矿资源,szmb
127006,敖东转债,2018-05-11,125.291,8.98,-21.03,24.064,0.73,0.77,000623,吉林敖东,szmb
128128,齐翔转2,2020-09-15,129.1,9.97,-3.78,6.795,2.32,3.205,002408,齐翔腾达,szmb
128091,新天转债,2020-01-17,195.5,10.03,-18.34,1.525,56.21,2.57,002873,新天药业,szmb
128087,孚日转债,2020-01-16,123.569,10.07,-4.11,6.443,3.75,2.534,002083,孚日股份,szmb
110077,洪城转债,2020-12-17,146.38,10.18,-7.32,17.468,3.43,3.458,600461,洪城环境,shmb
127063,贵轮转债,2022-05-30,129.99,10.32,-2.56,17.996,3.67,4.879,000589,贵州轮胎,szmb
113615,金诚转债,2021-01-14,282.705,10.98,-22.44,7.638,18.86,3.548,603979,金诚信,shmb
113626,伯特转债,2021-07-21,217.545,11.57,-13.69,7.806,6.62,4.063,603596,伯特利,shmb
128017,金禾转债,2017-11-27,128.322,11.73,-42.95,5.516,4.99,0.405,002597,金禾实业,szmb
127029,中钢转债,2021-04-23,186.38,11.91,-11.74,7.627,15.32,3.784,000928,中钢国际,szmb
127065,瑞鹄转债,2022-07-27,170.96,11.99,-6.69,4.392,10.75,5.049,002997,瑞鹄模具,szmb
113582,火炬转债,2020-06-23,148.848,12.13,-8.88,4.173,21.67,2.975,603678,火炬电子,shmb
113057,中银转债,2022-05-10,129.506,12.51,-3.42,57.158,2.16,4.803,601881,中国银河,shmb
113025,明泰转债,2019-05-07,202.327,12.55,-27.63,9.84,41.31,1.844,601677,明泰铝业,shmb
118021,新致转债,2022-11-02,229.665,12.72,-11.96,4.848,202.87,5.315,688590,新致软件,shkc
113631,皖天转债,2021-12-10,125.501,13.09,-2.12,9.299,4.69,4.427,603689,皖天然气,shmb
127012,招路转债,2019-04-30,124.341,13.39,-8.34,49.998,0.58,1.792,001965,招商公路,szmb
123140,天地转债,2022-03-30,145.798,13.4,-4.44,1.719,50.67,4.775,300743,天地数码,szcy
123014,凯发转债,2018-08-21,131.788,13.43,-139.77,1.159,22.41,0.14,300407,凯发电气,szcy
113505,杭电转债,2018-03-27,120.101,13.64,-13.47,7.497,9.41,0.748,603618,杭电股份,shmb
123192,科思转债,2023-05-11,179.169,14.24,-6.67,7.249,39.94,5.855,300856,科思股份,szcy
113646,永吉转债,2022-05-17,142.744,14.25,-4.76,1.384,60.96,4.86,603058,永吉股份,shmb
113594,淳中转债,2020-08-28,145.928,14.26,-6.16,2.997,18.91,3.123,603516,淳中科技,shmb
128034,江银转债,2018-02-14,110.794,14.39,-6.75,17.579,0.81,0.641,002807,江阴银行,szmb
113021,中信转债,2019-03-19,118.738,14.64,-2.25,397.92,0.5,1.742,601998,中信银行,shmb
110052,贵广转债,2019-03-29,142.621,14.85,-11.69,2.883,25.21,1.748,600996,贵广网络,shmb
113537,文灿转债,2019-07-05,236.269,14.86,-29.26,1.234,28.06,2.011,603348,文灿股份,shmb
110045,海澜转债,2018-07-31,122.507,14.97,-9.91,29.495,1.63,1.104,600398,海澜之家,shmb
113628,晨丰转债,2021-09-17,123.556,15.02,-0.47,4.15,5.23,4.216,603685,晨丰科技,shmb
110043,无锡转债,2018-03-14,111.649,15.34,-7.76,29.213,0.5,0.652,600908,无锡银行,shmb
128140,润建转债,2020-12-29,177.5,15.37,-12.01,10.894,7.27,3.499,002929,润建股份,szmb
113027,华钰转债,2019-07-10,153.625,15.56,-14.23,2.385,47.47,2.022,601020,华钰矿业,shmb
128121,宏川转债,2020-08-07,126.46,15.56,-3.82,6.699,1.26,3.112,002930,宏川智慧,szmb
123025,精测转债,2019-04-19,228.6,15.64,-32.11,3.086,82.37,1.811,300567,精测电子,szcy
113648,巨星转债,2022-05-17,133.104,15.69,-2.94,9.998,6.66,4.89,603477,巨星农牧,shmb
123063,大禹转债,2020-08-20,125.041,16.0,0.12,6.346,3.69,3.142,300021,大禹节水,szcy
128082,华锋转债,2020-01-06,158.0,16.43,-10.87,2.016,679.96,2.496,002806,华锋股份,szmb
113527,维格转债,2019-02-19,131.321,16.72,-6.88,2.862,23.0,1.636,603518,锦泓集团,shmb
128033,迪龙转债,2018-01-29,125.936,16.88,-28.32,2.972,5.06,0.559,002658,雪迪龙,szmb
123112,万讯转债,2021-04-23,134.741,16.92,-2.33,2.266,10.57,3.838,300112,万讯自控,szcy
123162,东杰转债,2022-11-04,126.096,16.95,-0.68,5.633,5.77,5.362,300486,东杰智能,szcy
113039,嘉泽转债,2020-09-17,156.046,17.39,-9.91,2.879,8.24,3.216,601619,嘉泽新能,shmb
127020,中金转债,2020-08-14,126.088,17.54,-3.47,30.228,0.67,3.121,000060,中金岭南,szmb
123067,斯莱转债,2020-10-15,139.279,17.56,-4.53,2.395,8.17,3.282,300382,斯莱克,szcy
113058,友发转债,2022-04-26,119.394,17.78,-0.46,20.0,0.66,4.819,601686,友发集团,shmb
128130,景兴转债,2020-09-18,117.83,17.83,-0.96,9.986,0.78,3.236,002067,景兴纸业,szmb
110080,东湖转债,2021-05-12,118.764,17.96,-1.01,15.491,1.28,3.849,600133,东湖高新,shmb
127032,苏行转债,2021-05-12,119.55,17.98,-1.13,49.995,0.93,3.852,002966,苏州银行,szmb
113063,赛轮转债,2022-11-24,135.198,18.2,-2.98,20.087,1.19,5.414,601058,赛轮轮胎,shmb
113663,新化转债,2022-12-16,134.47,18.27,-2.04,6.499,2.29,5.485,603867,新化股份,shmb
123099,普利转债,2021-03-08,124.281,18.38,-0.4,8.496,7.59,3.679,300630,普利制药,szcy
128048,张行转债,2018-11-29,116.533,18.45,-3.49,24.97,0.38,1.438,002839,张家港行,szmb
128133,奇正转债,2020-10-27,125.532,18.55,-2.34,7.994,3.53,3.296,002287,奇正藏药,szmb
110090,爱迪转债,2022-10-28,135.236,18.73,-3.13,15.698,1.41,5.304,600933,爱柯迪,shmb
113535,大业转债,2019-06-03,119.628,18.76,-8.72,4.996,6.23,0.923,603278,大业股份,shmb
123089,九洲转2,2021-01-08,127.83,18.76,-1.8,3.06,5.75,3.542,300040,九洲集团,szcy
118016,京源转债,2022-08-25,116.648,18.78,0.84,3.33,2.88,5.17,688096,京源环保,shkc
110055,伊力转债,2019-04-04,201.269,18.83,-28.38,2.434,24.58,1.775,600197,伊力特,shmb
123130,设研转债,2021-12-02,131.632,18.89,-2.71,3.755,21.67,4.436,300732,设研院,szcy
123052,飞鹿转债,2020-07-03,139.233,19.05,-3.73,1.503,7.09,2.997,300665,飞鹿股份,szcy
123188,水羊转债,2023-04-25,145.529,19.05,-3.11,6.95,11.73,5.833,300740,水羊股份,szcy
123158,宙邦转债,2022-10-21,134.998,19.1,-3.01,19.695,5.36,5.312,300037,新宙邦,szcy
128141,旺能转债,2021-01-18,123.316,19.15,-2.17,12.701,1.17,3.534,002034,旺能环境,szmb
111012,福新转债,2023-02-07,130.083,19.21,-1.24,4.29,1.99,5.584,605488,福莱新材,shmb
110074,精达转债,2020-09-21,138.928,19.22,-5.51,5.094,2.15,3.203,600577,精达股份,shmb
123141,宏丰转债,2022-04-08,122.666,19.34,-0.26,3.211,2.58,4.778,300283,温州宏丰,szcy
127036,三花转债,2021-06-30,139.35,19.35,-5.0,29.984,1.46,3.986,002050,三花智控,szmb
127027,能化转债,2021-01-22,119.758,19.4,-1.35,19.464,1.58,3.512,000552,甘肃能化,szmb
123176,精测转2,2023-03-22,178.6,19.51,-7.26,12.76,9.23,5.742,300567,精测电子,szcy
128106,华统转债,2020-05-08,198.4,19.53,-18.61,2.869,10.26,2.844,002840,华统股份,szmb
111005,富春转债,2022-07-25,125.72,19.61,-2.06,5.699,1.45,5.052,605189,富春染织,shmb
123085,万顺转2,2020-12-28,125.63,19.88,-3.2,5.712,4.54,3.515,300057,万顺新材,szcy
127070,大中转债,2022-10-11,124.359,20.02,-1.17,15.194,2.35,5.203,001203,大中矿业,szmb
110048,福能转债,2018-12-28,184.413,20.11,-28.96,12.76,2.28,1.504,600483,福能股份,shmb
113664,大元转债,2023-01-04,147.299,20.15,-3.58,4.5,5.25,5.504,603757,大元泵业,shmb
123146,中环转2,2022-05-26,120.0,20.16,0.12,8.64,2.52,4.921,300692,中环环保,szcy
110060,天路转债,2019-11-28,132.392,20.2,-6.4,7.059,42.64,2.395,600326,西藏天路,shmb
128075,远东转债,2019-10-31,123.48,20.25,-3.74,5.433,7.15,2.301,002406,远东传动,szmb
123050,聚飞转债,2020-05-15,134.568,20.31,-3.43,3.746,19.22,2.855,300303,聚飞光电,szcy
113504,艾华转债,2018-03-23,126.155,20.35,-21.59,4.627,2.67,0.74,603989,艾华集团,shmb
123031,晶瑞转债,2019-09-26,391.75,20.38,-42.8,0.529,31.62,2.233,300655,晶瑞电材,szcy
127037,银轮转债,2021-07-09,163.92,20.52,-8.76,6.994,26.91,3.997,002126,银轮股份,szmb
113549,白电转债,2019-12-11,119.056,20.66,-2.04,8.046,1.73,2.444,603861,白云电器,shmb
123167,商络转债,2022-12-09,125.91,20.67,-0.67,3.965,24.36,5.455,300975,商络电子,szcy
113598,法兰转债,2020-08-25,152.208,20.95,-7.42,2.752,6.24,3.151,603966,法兰泰克,shmb
127014,北方转债,2019-11-21,236.12,21.17,-26.83,5.34,52.88,2.384,000065,北方国际,szmb
123071,天能转债,2020-11-25,134.927,21.2,-3.46,6.941,4.06,3.375,300569,天能重工,szcy
128095,恩捷转债,2020-02-28,176.7,21.8,-15.44,4.537,18.84,2.688,002812,恩捷股份,szmb
110047,山鹰转债,2018-12-10,115.2,21.89,-0.12,22.455,0.63,1.463,600567,山鹰国际,shmb
123080,海波转债,2020-12-22,134.9,22.15,-2.16,1.489,9.01,3.49,300517,海波重科,szcy
113051,节能转债,2021-07-22,127.27,22.19,-2.67,29.988,0.33,4.044,601016,节能风电,shmb
110063,鹰19转债,2020-01-03,115.499,22.2,-0.35,18.092,0.33,2.521,600567,山鹰国际,shmb
128026,众兴转债,2018-01-03,115.763,22.6,-16.19,4.084,2.78,0.521,002772,众兴菌业,szmb
127018,本钢转债,2020-08-04,121.8,22.73,1.48,56.31,0.56,3.063,000761,本钢板材,szmb
128042,凯中转债,2018-09-03,119.0,22.9,-3.86,4.154,1.77,1.151,002823,凯中精密,szmb
113649,丰山转债,2022-07-21,123.3,23.03,-0.48,4.994,1.56,5.063,603810,丰山集团,shmb
127043,川恒转债,2021-09-23,127.748,23.25,-1.4,10.442,4.32,4.184,002895,川恒股份,szmb
123184,天阳转债,2023-04-18,133.011,23.26,-1.74,9.75,3.52,5.8,300872,天阳科技,szcy
118023,广大转债,2022-11-09,123.211,23.4,-0.49,15.5,2.97,5.359,688186,广大特材,shkc
127054,双箭转债,2022-03-15,122.879,23.54,-1.1,5.136,3.75,4.688,002381,双箭股份,szmb
110091,合力转债,2023-01-06,146.31,23.57,-4.71,20.48,1.87,5.523,600761,安徽合力,shmb
111007,永和转债,2022-11-01,138.212,23.74,-2.6,7.999,27.9,5.353,605020,永和股份,shmb
128074,游族转债,2019-10-21,149.888,23.84,-9.93,6.823,111.24,2.301,002174,游族网络,szmb
110079,杭银转债,2021-04-23,116.22,23.97,-1.03,149.985,0.56,3.814,600926,杭州银行,shmb
123160,泰福转债,2022-10-25,117.736,23.97,0.61,3.349,3.09,5.318,300992,泰福泵业,szcy
123120,隆华转债,2021-08-23,128.0,23.98,-1.44,7.981,2.39,4.148,300263,隆华科技,szcy
113634,珀莱转债,2022-01-04,147.963,24.12,-4.65,7.508,1.74,4.51,603605,珀莱雅,shmb
113660,寿22转债,2022-12-12,151.301,24.2,-4.57,3.978,17.68,5.455,603896,寿仙谷,shmb
113591,胜达转债,2020-07-23,122.818,24.38,-0.5,4.743,1.42,3.068,603687,大胜达,shmb
128119,龙大转债,2020-08-07,116.295,24.46,0.84,9.461,0.89,3.101,002726,龙大美食,szmb
128079,英联转债,2019-11-21,149.85,24.72,-10.43,1.516,258.34,2.378,002846,英联股份,szmb
118028,会通转债,2023-01-04,125.462,24.93,-0.77,8.3,0.25,5.504,688219,会通股份,shkc
127005,长证转债,2018-04-11,108.848,25.58,-4.61,49.964,0.64,0.767,000783,长江证券,szmb
113017,吉视转债,2018-01-15,112.844,25.82,-10.85,11.349,4.65,0.559,601929,吉视传媒,shmb
128049,华源转债,2018-12-20,119.173,25.83,-4.16,3.631,4.44,1.479,002787,华源控股,szmb
118030,睿创转债,2023-02-10,150.529,26.01,-4.78,15.64,0.47,5.57,688002,睿创微纳,shkc
113609,永安转债,2020-12-23,119.37,26.22,0.03,7.337,1.79,3.468,603776,永安行,shmb
123012,万顺转债,2018-08-29,149.102,26.28,-25.37,1.221,8.69,1.123,300057,万顺新材,szcy
110058,永鼎转债,2019-05-08,154.388,26.52,-16.05,2.604,144.08,1.86,600105,永鼎股份,shmb
123175,百畅转债,2023-03-17,126.0,26.58,-1.15,4.2,8.7,5.718,300614,百川畅银,szcy
123147,中辰转债,2022-06-21,122.413,26.65,-0.44,5.705,0.74,4.989,300933,中辰股份,szcy
113530,大丰转债,2019-04-18,128.209,26.71,-4.32,6.297,5.06,1.805,603081,大丰实业,shmb
123181,亚康转债,2023-04-11,220.0,26.74,-9.93,2.61,1406.69,5.792,301085,亚康股份,szcy
111002,特纸转债,2021-12-30,122.699,26.75,-1.11,6.62,2.37,4.51,605007,五洲特纸,shmb
128044,岭南转债,2018-09-04,119.794,26.82,-7.86,6.568,6.43,1.192,002717,岭南股份,szmb
113060,浙22转债,2022-07-08,121.305,27.09,-2.01,69.998,0.49,5.027,601878,浙商证券,shmb
113013,国君转债,2017-07-24,104.836,27.34,1.91,69.899,1.03,0.082,601211,国泰君安,shmb
127078,优彩转债,2023-01-09,118.052,27.6,0.53,6.0,0.4,5.526,002998,优彩资源,szmb
127050,麒麟转债,2021-12-06,127.516,27.61,-2.38,21.989,0.25,4.436,002984,森麒麟,szmb
123166,蒙泰转债,2022-11-25,124.776,27.63,-0.5,3.0,1.34,5.414,300876,蒙泰高新,szcy
123078,飞凯转债,2020-12-16,142.28,27.92,-6.21,6.182,5.75,3.479,300398,飞凯材料,szcy
128076,金轮转债,2019-11-08,125.8,28.02,-4.41,2.136,4.45,2.359,002722,物产金轮,szmb
128066,亚泰转债,2019-05-14,114.813,28.11,-0.38,4.61,1.89,1.866,002811,郑中设计,szmb
123131,奥飞转债,2021-12-22,136.4,28.38,-2.65,6.348,13.19,4.496,300738,奥飞数据,szcy
110092,三房转债,2023-02-07,116.132,28.47,-0.16,25.0,0.18,5.589,600370,三房巷,shmb
127039,北港转债,2021-07-23,124.15,28.49,-2.38,17.631,0.6,4.063,000582,北部湾港,szmb
127074,麦米转2,2022-11-09,124.7,28.65,-0.68,12.2,3.56,5.359,002851,麦格米特,szmb
113619,世运转债,2021-02-19,124.886,28.74,-2.46,9.997,6.82,3.625,603920,世运电路,shmb
123038,联得转债,2020-01-22,144.112,29.08,-8.03,1.472,52.81,2.553,300545,联得装备,szcy
113524,奇精转债,2019-01-07,120.002,29.17,-2.89,3.297,5.09,1.526,603677,奇精机械,shmb
113050,南银转债,2021-07-01,113.799,29.21,-0.63,166.16,0.36,4.025,601009,南京银行,shmb
113546,迪贝转债,2019-11-21,122.666,29.26,-1.43,2.297,2.99,2.381,603320,迪贝电气,shmb
127040,国泰转债,2021-08-10,117.749,29.28,-1.17,39.872,0.13,4.085,002091,江苏国泰,szmb
123194,百洋转债,2023-05-05,134.51,29.31,-2.2,8.6,1.22,5.858,301015,百洋医药,szcy
113526,联泰转债,2019-02-18,124.225,29.43,-8.4,1.927,4.44,1.633,603797,联泰环保,shmb
113516,苏农转债,2018-08-20,112.47,29.64,-0.52,12.885,0.63,1.156,603323,苏农银行,shmb
111000,起帆转债,2021-06-17,131.553,29.79,-2.43,9.993,1.27,3.967,605222,起帆电缆,shmb
127071,天箭转债,2022-09-19,125.25,29.95,-2.12,4.95,4.82,5.216,003009,中天火箭,szmb
128037,岩土转债,2018-04-25,112.822,30.02,-5.52,6.019,1.55,0.775,002542,中化岩土,szmb
123149,通裕转债,2022-07-15,119.817,30.15,-0.46,14.846,0.67,5.044,300185,通裕重工,szcy
113055,成银转债,2022-04-06,118.948,30.19,-1.47,51.968,0.33,4.745,601838,成都银行,shmb
113563,柳药转债,2020-02-24,127.052,30.23,-5.02,8.017,1.41,2.614,603368,柳药集团,shmb
123177,测绘转债,2023-03-24,143.1,30.25,-3.05,4.067,103.31,5.742,300826,测绘股份,szcy
123048,应急转债,2020-05-11,130.12,30.27,-5.42,3.79,14.57,2.844,300527,中船应急,szcy
127007,湖广转债,2018-08-01,130.5,30.27,-15.2,3.682,6.21,1.063,000665,湖北广电,szmb
123107,温氏转债,2021-04-21,122.28,30.87,-2.25,77.387,0.52,3.811,300498,温氏股份,szcy
128127,文科转债,2020-09-11,107.046,30.87,3.72,9.492,1.52,3.205,002775,文科园林,szmb
113048,晶科转债,2021-05-31,119.696,30.89,-0.75,22.962,0.77,3.879,601778,晶科科技,shmb
113643,风语转债,2022-04-22,131.524,31.09,-1.92,5.0,14.77,4.805,603466,风语筑,shmb
110085,通22转债,2022-03-18,118.72,31.21,-1.0,119.839,1.1,4.723,600438,通威股份,shmb
113651,松霖转债,2022-08-17,116.819,31.31,0.05,6.099,2.89,5.126,603992,松霖科技,shmb
110075,南航转债,2020-11-03,124.547,31.58,-3.84,58.96,0.45,3.359,600029,南方航空,shmb
123002,国祯转债,2017-12-25,113.21,31.67,-13.61,2.521,3.61,0.468,300388,节能国祯,szcy
