bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
111006,嵘泰转债,rtzz,135.642,0.79,605133,嵘泰股份,rtgf,38.05,3.06,3.43,27.34,139.17,0,-2.54,133.1,280203,shmb,C,2022-09-21,N,0,0,buy,AA-,,19.14,35.54,42.7,buy,2028-08-11,5.378,6.5,53483.31,21501.36,61.11,-2.25,,0,公告要强赎,O,15:00:00,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-02-17 开始转股,已公告要强赎，如不考虑强赎纯债价值为86.20元，计算使用5.4年期 评级为AA- 债参考YTM：6.5274,N,6.507,全价：135.642 最后更新：15:00:00,,,如不考虑强赎期权价值为93.19元,,buy
123118,惠城转债,hczz,222.618,-3.9,300779,惠城环保,hchb,38.95,-2.06,5.6,17.06,228.31,0,-2.49,220.13,760103,szcy,C,2021-07-26,N,0,0,buy,A+,,11.94,22.18,6.8,buy,2027-07-06,4.277,2.37,26703.94,8679.36,50.18,-13.51,,0,,,15:34:33,00,,Y,N,0,0,Y,,2022-01-13 开始转股,计算使用4.3年期 评级为A+ 债参考YTM：8.6691,N,3.2,全价：222.618 最后更新：15:34:33,,,,,buy
123057,美联转债,mlzz,166.18,-1.73,300586,美联新材,mlxc,15.82,-1.98,5.4,9.5,166.53,0,-0.21,165.97,220503,szcy,C,2020-07-27,N,0,0,buy,AA-,,6.65,12.35,2.3,buy,2026-06-30,,1.424,22655.41,15667.28,93.67,,,0,"最后交易日：2023年4月7日
最后转股日：2023年4月12日
赎回价：100.784元/张",R,15:34:06,00,R,Y,N,0,0,Y,,2021-01-07 开始转股,强赎登记日2023-04-07，赎回价格100.784元，如不考虑强赎纯债价值为96.77元，计算使用3.3年期 评级为AA- 债参考YTM：6.1439,N,2.07,全价：166.180 最后更新：15:34:06,2023-04-07,100.784,如不考虑强赎期权价值为96.15元,,buy
123083,朗新转债,lxzz,186.797,0.22,300682,朗新科技,lxkj,28.41,-0.21,4.54,15.2,186.91,0,-0.06,186.74,710301,szcy,C,2021-01-06,N,0,0,buy,AA,,10.64,19.76,1.3,buy,2026-12-09,,3.931,28276.38,40887.38,38.66,,,0,"最后交易日：2023年4月17日
最后转股日：2023年4月20日
赎回价：100.36元/张",R,15:34:54,00,R,Y,N,0,0,Y,,2021-06-15 开始转股,强赎登记日2023-04-17，赎回价格100.360元，如不考虑强赎纯债价值为99.94元，计算使用3.8年期 评级为AA 债参考YTM：3.7685,N,8.0,全价：186.797 最后更新：15:34:54,2023-04-17,100.360,如不考虑强赎期权价值为110.73元,,buy
128078,太极转债,tjzz,184.3,1.94,002368,太极股份,tjgf,40.58,0.2,6.48,22.02,184.29,0,0.01,184.31,710301,szmb,C,2019-11-08,N,0,0,buy,AA,,15.41,28.63,2.1,buy,2025-10-21,,5.109,174210.6,128522.0,184.3,,,0,"最后交易日：2023年4月17日
最后转股日：2023年4月20日
赎回价：100.75元/张",R,15:34:03,00,R,Y,N,0,0,Y,,2020-04-27 开始转股,强赎登记日2023-04-17，赎回价格100.750元，如不考虑强赎纯债价值为105.83元，计算使用2.6年期 评级为AA 债参考YTM：3.4502,N,10.0,全价：184.300 最后更新：15:34:03,2023-04-17,100.750,如不考虑强赎期权价值为105.88元,,buy
128114,正邦转债,zbzz,92.277,-1.39,002157,正邦科技,zbkj,3.31,-2.36,143.91,3.62,91.44,0,0.92,93.2,110702,szmb,C,2020-07-15,N,0,0,buy,B,,2.53,4.71,16.3,buy,2026-06-16,3.222,13.105,5801.64,10368.0,4.77,7.03,,0,,,15:34:18,00,R,Y,N,3,3,Y,转股价下修3次，成功下修3次,2020-12-23 开始转股,计算使用3.3年期 评级为B 债参考YTM：36.9439,N,16.0,全价：92.277 最后更新：15:34:18,,,,,buy
127058,科伦转债,klzz,170.4,3.55,002422,科伦药业,klyy,28.08,5.17,2.77,16.65,168.65,0,1.04,171.44,370102,szmb,C,2022-04-20,N,0,0,buy,AA+,,11.66,21.65,6.4,buy,2028-03-18,4.978,20.949,63710.56,66464.92,17.84,-8.14,,0,本次（2022年9月29日至2022年10月28日）不提前赎回，至2023年10月28日均不行使提前赎回权利,G,15:34:39,00,R,Y,N,0,0,Y,,2022-09-26 开始转股,计算使用5.0年期 评级为AA+ 债参考YTM：3.5840,N,30.0,全价：170.400 最后更新：15:34:39,,,,,buy
113595,花王转债,hwzz,131.956,3.28,603007,ST花王,sthw,5.85,2.81,4.31,4.48,130.58,0,1.05,133.01,620307,shmb,C,2020-08-18,N,0,0,buy,B+,,3.14,5.82,15.8,buy,2026-07-20,3.315,3.076,166881.45,6614.4,410.53,-1.9,,0,,,15:00:00,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-01-27 开始转股,,N,3.3,全价：131.956 最后更新：15:00:00,,,,,buy
110061,川投转债,ctzz,151.534,0.69,600674,川投能源,ctny,13.1,1.24,1.8,8.8,148.86,0,1.79,153.32,410102,shmb,C,2019-12-02,N,0,0,buy,AAA,,6.16,11.44,6.0,buy,2025-11-10,2.625,34.819,3869.84,9139.16,0.73,-11.87,,0,本次（2022年11月16日至2022年12月9日）不提前赎回，以2023年12月10日为首个交易日重新起算,G,15:00:00,00,R,Y,N,0,0,Y,,2020-05-15 开始转股,计算使用2.7年期 评级为AAA 债参考YTM：3.0691,N,40.0,全价：151.534 最后更新：15:00:00,,,,,buy
128081,海亮转债,hlzz,125.6,-1.1,002203,海亮股份,hlgf,11.65,-1.52,1.9,9.62,121.1,0,3.71,129.31,240302,szmb,C,2019-12-16,N,0,0,buy,AA,,6.73,12.51,12.5,buy,2025-11-21,2.655,28.231,7849.19,5871.91,2.2,-3.87,,0,,,15:34:06,00,R,Y,N,0,0,Y,,2020-05-27 开始转股,计算使用2.7年期 评级为AA 债参考YTM：3.5137,N,31.5,全价：125.600 最后更新：15:34:06,,,,,buy
110053,苏银转债,syzz,121.249,-0.37,600919,江苏银行,jsyh,6.97,-0.29,0.5,5.97,116.75,0,3.85,125.1,480401,shmb,C,2019-04-03,N,0,0,buy,AAA,,,7.76,19.5,buy,2025-03-13,1.962,199.98,21091.54,28122.22,0.87,-2.92,,0,,,15:00:00,00,R,Y,N,0,0,Y,,2019-09-20 开始转股,计算使用2.0年期 评级为AAA 债参考YTM：2.9610,N,200.0,全价：121.249 最后更新：15:00:00,,,,,buy
110052,贵广转债,ggzz,166.469,-2.38,600996,贵广网络,ggwl,12.7,-3.05,3.09,7.94,159.95,0,4.08,170.55,721001,shmb,C,2019-03-29,N,0,0,buy,AA+,,5.56,10.32,1.9,buy,2025-03-05,1.94,2.893,11080.61,28807.83,22.78,-17.49,,0,,,15:00:00,00,R,Y,N,0,0,Y,,2019-09-11 开始转股,计算使用2.0年期 评级为AA+ 债参考YTM：3.0731,N,16.0,全价：166.469 最后更新：15:00:00,,,,,buy
113044,大秦转债,dqzz,112.103,-0.57,601006,大秦铁路,dqtl,7.2,-0.41,0.84,6.7,107.46,0,4.32,116.42,420903,shmb,C,2021-01-15,N,0,0,buy,AAA,,4.69,8.04,29.9,buy,2026-12-13,3.715,319.988,34879.52,16356.52,0.97,0.32,,0,,,15:00:00,00,R,Y,N,0,0,Y,,2021-06-18 开始转股,计算使用3.8年期 评级为AAA 债参考YTM：3.1891,N,320.0,全价：112.103 最后更新：15:00:00,,,,,buy
123112,万讯转债,wxzz,150.75,0.58,300112,万讯自控,wxzk,12.58,4.66,3.05,8.73,144.1,0,4.61,155.36,640107,szcy,C,2021-04-23,N,0,0,buy,AA-,,6.11,11.35,8.5,buy,2027-04-07,4.03,2.452,32618.55,33472.25,88.86,-4.84,,0,,,15:34:12,00,,Y,N,0,0,Y,,2021-10-14 开始转股,计算使用4.1年期 评级为AA- 债参考YTM：6.2001,N,2.457,全价：150.750 最后更新：15:34:12,,,,,buy
123092,天壕转债,thzz,243.474,0.47,300332,天壕环境,thhj,11.94,0.84,2.7,5.14,232.3,0,4.81,248.28,410301,szcy,C,2021-01-15,N,0,0,buy,A+,,3.6,6.68,4.1,buy,2026-12-23,3.742,4.142,11736.91,6153.26,11.7,-17.43,,0,本次（2023年1月1日至2023年1月30日）不提前赎回，以2023年7月1日后首个交易日重新计算,G,15:34:12,00,R,Y,N,0,0,Y,,2021-06-30 开始转股,计算使用3.8年期 评级为A+ 债参考YTM：8.6087,N,4.23,全价：243.474 最后更新：15:34:12,,,,,buy
113534,鼎胜转债,dszz,286.069,-2.96,603876,鼎胜新材,dsxc,40.85,-3.79,3.37,14.98,272.7,0,4.9,290.97,240301,shmb,C,2019-04-30,N,0,0,buy,AA-,,10.49,19.47,2.0,buy,2025-04-08,2.033,3.933,15784.48,25360.99,13.81,-37.03,,0,本次（2023年1月16日至2023年2月10日）不提前赎回，以2023年5月10日后的首个交易日重新起算,G,15:00:00,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2019-10-16 开始转股,计算使用2.1年期 评级为AA- 债参考YTM：5.5703,N,12.54,全价：286.069 最后更新：15:00:00,,,,,buy
123077,汉得转债,hdzz,152.0,-2.87,300170,汉得信息,hdxx,14.16,-4.77,3.17,9.82,144.2,0,5.41,157.41,710301,szcy,C,2020-12-15,N,0,0,buy,AA,,6.87,12.77,8.0,buy,2026-11-23,3.66,9.367,59273.11,99405.21,41.16,-5.39,,0,,,15:35:00,00,R,Y,N,0,0,Y,,2021-05-27 开始转股,计算使用3.7年期 评级为AA 债参考YTM：3.7647,N,9.37,全价：152.000 最后更新：15:35:00,,,,,buy
128044,岭南转债,lnzz,134.3,3.15,002717,岭南股份,lngf,4.36,10.1,1.66,3.43,127.11,0,5.65,139.95,620307,szmb,C,2018-09-04,N,0,0,buy,AA-,,2.4,4.46,10.9,buy,2024-08-14,1.384,6.568,502876.44,204999.06,561.58,-14.26,,0,,,15:34:12,00,,Y,N,2,2,Y,转股价下修2次，成功下修2次,2019-02-20 开始转股,计算使用1.4年期 评级为AA- 债参考YTM：5.4430,N,6.6,全价：134.300 最后更新：15:34:12,,,,,buy
123098,一品转债,ypzz,189.45,2.79,300723,一品红,yph,44.77,1.75,6.3,25.3,176.96,0,7.06,196.51,370102,szcy,C,2021-02-23,N,0,0,buy,AA-,,17.71,32.89,6.8,buy,2027-01-28,3.841,4.047,44382.16,6384.81,58.16,-10.8,,0,本次（2022年11月9日至2022年11月29日）不提前赎回，以2023年5月29日后首个交易日重新计算,G,15:34:54,00,,Y,N,0,0,Y,,2021-08-03 开始转股,计算使用3.9年期 评级为AA- 债参考YTM：6.1832,N,4.8,全价：189.450 最后更新：15:34:54,,,,,buy
123156,博汇转债,bhzz,142.1,3.74,300839,博汇股份,bhgf,19.97,9.48,3.72,15.05,132.69,0,7.09,149.19,750303,szcy,C,2022-09-02,N,0,0,buy,A+,,10.54,19.57,25.1,buy,2028-08-16,5.392,3.97,103560.43,12418.38,181.03,-2.95,,0,,,15:34:45,00,,Y,N,0,0,Y,,2023-02-22 开始转股,计算使用5.4年期 评级为A+ 债参考YTM：8.9574,N,3.97,全价：142.100 最后更新：15:34:45,,,,,buy
127014,北方转债,bfzz,212.5,-2.66,000065,北方国际,bfgj,15.47,-5.21,2.0,7.8,198.33,0,7.14,219.64,620403,szmb,C,2019-11-21,N,0,0,buy,AA+,,5.46,10.14,3.8,buy,2025-10-23,2.575,5.341,482873.46,180417.14,398.74,-21.93,,0,,,15:34:06,00,R,Y,N,0,0,Y,,2020-04-30 开始转股,计算使用2.6年期 评级为AA+ 债参考YTM：3.1664,N,5.78,全价：212.500 最后更新：15:34:06,,,,,buy
123164,法本转债,fbzz,160.66,-3.74,300925,法本信息,fbxx,16.63,-6.05,4.65,11.12,149.55,30,7.43,168.09,710401,szcy,C,2022-11-14,N,0,0,buy,A+,,7.78,14.46,18.0,buy,2028-10-20,5.57,6.007,29509.43,43367.11,30.2,-4.99,,0,,,15:34:12,00,R,Y,N,0,0,Y,,未到转股期；2023-04-27 开始转股,计算使用5.6年期 评级为A+ 债参考YTM：8.9853,N,6.01,全价：160.660 最后更新：15:34:12,,,,,buy
110083,苏租转债,szzz,126.32,-0.24,600901,江苏金租,jsjz,5.96,-0.67,1.16,5.07,117.55,0,7.46,133.78,490305,shmb,C,2021-12-10,N,0,0,buy,AAA,,,6.59,28.3,buy,2027-11-11,4.627,49.98,4093.39,8479.37,0.65,-2.92,,0,,,15:00:00,00,R,Y,N,0,0,Y,,2022-05-17 开始转股,计算使用4.7年期 评级为AAA 债参考YTM：3.3209,N,50.0,全价：126.320 最后更新：15:00:00,,,,,buy
113585,寿仙转债,sxzz,248.974,1.83,603896,寿仙谷,sxg,50.05,1.4,5.85,21.64,231.28,0,7.65,256.62,370201,shmb,C,2020-07-07,N,0,0,buy,AA-,,15.15,28.13,1.0,buy,2026-06-08,3.2,1.001,28794.67,22012.57,115.93,-21.45,,0,本次（2022年9月22日至2022年10月19日）不提前赎回，以2023年4月20日为首个交易日重新计算,G,14:59:58,00,,Y,N,0,0,Y,,2020-12-15 开始转股,计算使用3.2年期 评级为AA- 债参考YTM：6.1269,N,3.6,全价：248.974 最后更新：14:59:58,,,,,buy
110068,龙净转债,ljzz,171.131,0.97,600388,ST龙净,ljhb,16.34,-0.61,2.37,10.3,158.64,0,7.87,179.0,760201,shmb,C,2020-04-15,N,0,0,buy,AA+,,7.21,13.39,10.8,buy,2026-03-23,2.989,18.888,15671.6,14269.44,4.85,-13.04,,0,本次（2023年2月17日至2023年3月9日）不提前赎回，以2023年6月9日之后的首个交易日重新起算,G,15:00:00,00,,Y,N,0,0,Y,,2020-09-30 开始转股,计算使用3.0年期 评级为AA+ 债参考YTM：3.2239,N,20.0,全价：171.131 最后更新：15:00:00,,,,,buy
128128,齐翔转2,qxz2,137.5,-0.19,002408,齐翔腾达,qxtd,7.25,-0.41,1.48,5.69,127.42,0,7.91,145.41,750303,szmb,C,2020-09-15,N,0,0,buy,AA,,3.98,7.4,3.4,buy,2026-08-19,3.397,6.795,6580.14,11467.54,7.03,-5.37,,0,,,15:34:24,00,R,Y,N,0,0,Y,,2021-02-26 开始转股,计算使用3.4年期 评级为AA 债参考YTM：3.7460,N,29.9,全价：137.500 最后更新：15:34:24,,,,,buy
110077,洪城转债,hczz,126.213,-0.4,600461,洪城环境,hchj,7.24,0.14,1.2,6.21,116.59,0,8.26,134.47,760102,shmb,C,2020-12-17,N,0,0,buy,AA+,,4.35,8.07,25.7,buy,2026-11-19,3.649,17.672,1711.74,2130.35,0.77,-3.04,,0,,,14:59:42,00,,Y,N,0,0,Y,,2021-05-26 开始转股,计算使用3.7年期 评级为AA+ 债参考YTM：3.3005,N,18.0,全价：126.213 最后更新：14:59:42,,,,,buy
127021,特发转2,tfz2,160.0,1.01,000070,特发信息,tfxx,10.78,-3.66,4.91,7.33,147.07,0,8.79,168.79,730205,szmb,C,2020-09-04,N,0,0,buy,AA,,5.13,9.53,4.6,buy,2025-08-06,2.362,4.158,157205.97,132601.75,240.42,-14.01,,0,,,15:34:51,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-02-18 开始转股,计算使用2.4年期 评级为AA 债参考YTM：3.3213,N,5.5,全价：160.000 最后更新：15:34:51,,,,,buy
127029,中钢转债,zgzz,152.1,-1.23,000928,中钢国际,zggj,7.73,-3.25,1.56,5.54,139.53,0,9.01,161.11,620403,szmb,C,2021-04-23,N,0,0,buy,AA+,,3.88,7.2,8.3,buy,2027-03-18,3.975,8.186,28764.92,27251.99,22.72,-6.49,,0,本次（2023年2月2日起至3月10日）不提前赎回，自2023年9月11日起重新计算,G,15:34:42,00,R,Y,N,0,0,Y,,2021-09-27 开始转股,计算使用4.0年期 评级为AA+ 债参考YTM：3.3293,N,9.6,全价：152.100 最后更新：15:34:42,,,,,buy
128017,金禾转债,jhzz,154.611,-1.28,002597,金禾实业,jhsy,30.25,-1.24,2.56,21.33,141.82,0,9.02,163.63,220315,szmb,C,2017-11-27,N,0,0,buy,AA,,14.93,27.73,3.3,buy,2023-11-01,0.597,5.518,1757.47,11095.25,2.05,-52.67,,0,2022年1月25日公告：本次（2022年1月1日至2022年1月24日）不提前赎回，至存续期结束前2023年11月1日均不提前赎回,G,15:34:48,00,R,Y,N,0,0,Y,,2018-08-07 开始转股,计算使用0.6年期 评级为AA 债参考YTM：2.8353,N,6.0,全价：154.611 最后更新：15:34:48,,,,,buy
113626,伯特转债,btzz,215.76,1.48,603596,伯特利,btl,70.93,1.74,6.94,35.88,197.69,0,9.14,224.9,280203,shmb,C,2021-07-21,N,0,0,buy,AA,,25.12,46.64,2.7,buy,2027-06-28,4.255,7.806,12224.95,31184.23,7.31,-12.94,,0,本次（2023年2月16日至2023年3月8日）不提前赎回，以2023年9月9日为首个交易日重新计算,G,14:59:58,00,R,Y,N,0,0,Y,,2022-01-05 开始转股,计算使用4.3年期 评级为AA 债参考YTM：3.8293,N,9.02,全价：215.760 最后更新：14:59:58,,,,,buy
113504,艾华转债,ahzz,137.517,-1.96,603989,艾华集团,ahjt,25.83,-4.33,3.19,20.51,125.94,0,9.19,146.71,270203,shmb,C,2018-03-23,N,0,0,buy,AA,,14.36,26.66,4.5,buy,2024-03-02,0.932,4.627,6856.69,11527.77,10.71,-24.59,,0,,,14:59:56,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2018-09-08 开始转股,计算使用1.0年期 评级为AA 债参考YTM：2.9530,N,6.91,全价：137.517 最后更新：14:59:56,,,,,buy
128141,旺能转债,wnzz,128.0,-0.36,002034,旺能环境,wnhj,18.27,0.27,1.35,15.67,116.59,0,9.78,137.78,760103,szmb,C,2021-01-18,N,0,0,buy,AA,,10.97,20.37,16.3,buy,2026-12-17,3.726,12.701,1576.99,2812.2,0.97,-3.05,,0,,,15:34:36,00,R,Y,N,0,0,Y,,2021-06-23 开始转股,计算使用3.8年期 评级为AA 债参考YTM：3.7685,N,14.0,全价：128.000 最后更新：15:34:36,,,,,buy
123107,温氏转债,wszz,128.3,0.27,300498,温氏股份,wsgf,20.29,1.86,3.69,17.37,116.81,0,9.84,138.14,110702,szcy,C,2021-04-21,N,0,0,buy,AAA,,12.16,22.58,7.1,buy,2027-03-28,4.0,77.387,23216.03,119729.46,2.34,-3.33,,0,,,15:34:24,00,R,Y,N,0,0,Y,,2021-10-08 开始转股,计算使用4.0年期 评级为AAA 债参考YTM：3.2110,N,92.97,全价：128.300 最后更新：15:34:24,,,,,buy
