bond_id,bond_nm,list_dt,price,premium_rt,ytm_rt,curr_iss_amt,turnover_rt,year_left,stock_id,stock_nm,market_cd
110057,现代转债,2019-04-30,117.742,-0.11,,1.235,23.04,,600420,国药现代,shmb
110061,川投转债,2019-12-02,171.53,1.31,-17.26,34.8,3.03,2.416,600674,川投能源,shmb
110053,苏银转债,2019-04-03,127.708,1.39,-6.14,161.511,0.85,1.753,600919,江苏银行,shmb
113628,晨丰转债,2021-09-17,133.956,1.49,-2.41,4.149,131.45,4.2,603685,晨丰科技,shmb
123092,天壕转债,2021-01-15,225.58,1.71,-16.56,4.132,6.34,3.534,300332,天壕环境,szcy
123098,一品转债,2021-02-23,179.045,1.83,-9.98,4.047,25.53,3.633,300723,一品红,szcy
127058,科伦转债,2022-04-20,187.012,1.86,-10.27,20.342,7.48,4.77,002422,科伦药业,szmb
123164,法本转债,2022-11-14,145.693,1.87,-3.4,6.001,28.81,5.364,300925,法本信息,szcy
127069,小熊转债,2022-09-07,164.465,1.96,-5.86,5.08,69.25,5.173,002959,小熊电器,szmb
113044,大秦转债,2021-01-15,115.963,2.23,-0.65,299.872,0.65,3.507,601006,大秦铁路,shmb
118021,新致转债,2022-11-02,209.835,2.89,-10.46,4.848,259.52,5.299,688590,新致软件,shkc
123118,惠城转债,2021-07-26,344.27,3.04,-23.02,1.808,70.81,4.068,300779,惠城环保,szcy
113534,鼎胜转债,2019-04-30,248.549,3.21,-35.66,3.919,39.58,1.825,603876,鼎胜新材,shmb
128081,海亮转债,2019-12-16,127.888,3.21,-4.91,27.864,1.54,2.447,002203,海亮股份,szmb
110083,苏租转债,2021-12-10,130.155,3.92,-3.72,47.649,0.6,4.419,600901,江苏金租,shmb
123136,城市转债,2022-02-15,138.67,4.06,,1.797,246.96,,300778,新城市,szcy
110068,龙净转债,2020-04-15,174.338,5.14,-14.54,18.759,1.07,2.781,600388,ST龙净,shmb
123075,贝斯转债,2020-11-23,138.66,5.79,-5.59,5.996,22.95,3.392,300580,贝斯特,szcy
123150,九强转债,2022-07-20,135.9,6.35,-3.21,11.21,20.61,5.055,300406,九强生物,szcy
128111,中矿转债,2020-07-07,565.395,6.77,-40.36,1.1,40.31,2.997,002738,中矿资源,szmb
127065,瑞鹄转债,2022-07-27,177.5,7.22,-7.42,4.392,255.81,5.033,002997,瑞鹄模具,szmb
123156,博汇转债,2022-09-02,131.81,7.32,-1.62,3.97,5.25,5.184,300839,博汇股份,szcy
113648,巨星转债,2022-05-17,137.78,7.63,-3.65,9.998,9.96,4.874,603477,巨星农牧,shmb
127063,贵轮转债,2022-05-30,131.996,7.75,-2.88,17.996,3.91,4.863,000589,贵州轮胎,szmb
127028,英特转债,2021-03-10,129.48,7.95,-3.99,5.757,5.22,3.567,000411,英特集团,szmb
110084,贵燃转债,2022-01-18,126.855,8.17,-2.21,9.181,4.96,4.545,600903,贵州燃气,shmb
113595,花王转债,2020-08-18,105.233,8.38,5.56,2.707,29.37,3.107,603007,ST花王,shmb
127029,中钢转债,2021-04-23,194.23,8.38,-12.77,7.627,31.49,3.767,000928,中钢国际,szmb
128083,新北转债,2019-12-31,130.901,8.53,-5.69,8.768,2.2,2.504,002376,新北洋,szmb
123014,凯发转债,2018-08-21,134.3,8.58,-171.32,1.158,281.52,0.123,300407,凯发电气,szcy
113626,伯特转债,2021-07-21,227.284,8.86,-14.69,7.806,85.37,4.047,603596,伯特利,shmb
113016,小康转债,2017-11-21,151.835,9.61,,1.38,1927.98,,601127,赛力斯,shmb
110077,洪城转债,2020-12-17,147.038,9.75,-7.47,17.468,2.0,3.441,600461,洪城环境,shmb
128025,特一转债,2017-12-28,192.88,9.78,-92.87,2.113,40.09,0.485,002728,特一药业,szmb
127006,敖东转债,2018-05-11,124.675,9.9,-20.96,24.064,1.06,0.753,000623,吉林敖东,szmb
128087,孚日转债,2020-01-16,123.675,9.93,-4.17,6.443,4.29,2.518,002083,孚日股份,szmb
128114,正邦转债,2020-07-15,80.0,10.53,12.92,11.7,45.97,3.014,002157,*ST正邦,szmb
128082,华锋转债,2020-01-06,159.2,10.7,-11.22,2.015,424.02,2.479,002806,华锋股份,szmb
128091,新天转债,2020-01-17,195.9,11.1,-18.52,1.525,28.32,2.553,002873,新天药业,szmb
128128,齐翔转2,2020-09-15,128.701,11.29,-3.7,6.795,2.15,3.189,002408,齐翔腾达,szmb
113631,皖天转债,2021-12-10,125.424,11.42,-2.12,9.299,3.26,4.411,603689,皖天然气,shmb
127012,招路转债,2019-04-30,126.587,11.86,-9.34,49.998,0.99,1.775,001965,招商公路,szmb
128106,华统转债,2020-05-08,199.174,12.56,-18.83,2.869,17.1,2.827,002840,华统股份,szmb
113594,淳中转债,2020-08-28,143.106,13.03,-5.59,2.997,17.49,3.107,603516,淳中科技,shmb
128017,金禾转债,2017-11-27,128.57,13.1,-45.13,5.516,5.67,0.389,002597,金禾实业,szmb
110043,无锡转债,2018-03-14,110.07,13.29,-5.81,29.213,3.16,0.636,600908,无锡银行,shmb
128121,宏川转债,2020-08-07,130.272,13.36,-4.78,6.699,3.55,3.096,002930,宏川智慧,szmb
128034,江银转债,2018-02-14,110.057,13.5,-5.9,17.579,3.64,0.625,002807,江阴银行,szmb
127036,三花转债,2021-06-30,143.3,13.58,-5.7,29.984,10.23,3.97,002050,三花智控,szmb
113527,维格转债,2019-02-19,132.75,14.04,-7.58,2.862,11.76,1.619,603518,锦泓集团,shmb
113057,中银转债,2022-05-10,129.642,14.13,-3.46,57.158,1.1,4.786,601881,中国银河,shmb
110052,贵广转债,2019-03-29,145.098,14.18,-12.67,2.883,18.42,1.732,600996,贵广网络,shmb
113582,火炬转债,2020-06-23,148.472,14.9,-8.84,4.173,13.33,2.959,603678,火炬电子,shmb
110045,海澜转债,2018-07-31,124.091,15.04,-11.12,29.495,1.13,1.088,600398,海澜之家,shmb
123025,精测转债,2019-04-19,219.08,15.18,-30.71,3.086,68.49,1.795,300567,精测电子,szcy
110090,爱迪转债,2022-10-28,137.8,15.3,-3.48,15.698,7.65,5.288,600933,爱柯迪,shmb
113063,赛轮转债,2022-11-24,138.002,15.3,-3.36,20.087,3.81,5.397,601058,赛轮轮胎,shmb
113505,杭电转债,2018-03-27,118.423,15.5,-12.02,7.497,7.94,0.732,603618,杭电股份,shmb
113535,大业转债,2019-06-03,121.387,15.6,-10.34,4.996,6.11,0.907,603278,大业股份,shmb
123140,天地转债,2022-03-30,148.45,15.9,-4.82,1.719,26.2,4.759,300743,天地数码,szcy
113025,明泰转债,2019-05-07,211.79,16.21,-29.65,9.84,22.37,1.827,601677,明泰铝业,shmb
110080,东湖转债,2021-05-12,121.191,16.22,-1.54,15.491,1.77,3.833,600133,东湖高新,shmb
123063,大禹转债,2020-08-20,127.7,16.37,-0.57,6.346,1.1,3.126,300021,大禹节水,szcy
128075,远东转债,2019-10-31,127.999,16.38,-5.29,5.433,18.12,2.285,002406,远东传动,szmb
123162,东杰转债,2022-11-04,126.815,16.68,-0.79,5.633,5.64,5.345,300486,东杰智能,szcy
110074,精达转债,2020-09-21,139.215,16.94,-5.6,5.094,6.0,3.186,600577,精达股份,shmb
127020,中金转债,2020-08-14,126.527,16.99,-3.6,30.228,0.49,3.104,000060,中金岭南,szmb
128130,景兴转债,2020-09-18,118.452,17.07,-1.13,9.986,0.68,3.219,002067,景兴纸业,szmb
128048,张行转债,2018-11-29,116.503,17.32,-3.51,24.97,0.38,1.422,002839,张家港行,szmb
123050,聚飞转债,2020-05-15,142.0,17.47,-5.29,3.746,22.66,2.838,300303,聚飞光电,szcy
128042,凯中转债,2018-09-03,122.381,17.7,-6.29,4.154,20.93,1.134,002823,凯中精密,szmb
128140,润建转债,2020-12-29,185.0,18.02,-13.12,10.894,6.43,3.482,002929,润建股份,szmb
128033,迪龙转债,2018-01-29,126.6,18.05,-30.02,2.972,11.83,0.542,002658,雪迪龙,szmb
123080,海波转债,2020-12-22,138.996,18.14,-3.03,1.489,14.85,3.474,300517,海波重科,szcy
111012,福新转债,2023-02-07,129.622,18.16,-1.18,4.29,3.41,5.567,605488,福莱新材,shmb
127070,大中转债,2022-10-11,123.96,18.5,-1.11,15.194,3.34,5.186,001203,大中矿业,szmb
127032,苏行转债,2021-05-12,120.648,18.55,-1.38,49.995,0.73,3.836,002966,苏州银行,szmb
113646,永吉转债,2022-05-17,146.74,18.6,-5.32,1.384,30.59,4.844,603058,永吉股份,shmb
123112,万讯转债,2021-04-23,137.25,18.62,-2.82,2.266,9.8,3.822,300112,万讯自控,szcy
113615,金诚转债,2021-01-14,294.964,18.72,-23.46,7.638,9.58,3.532,603979,金诚信,shmb
123052,飞鹿转债,2020-07-03,140.419,18.78,-4.02,1.503,11.31,2.981,300665,飞鹿股份,szcy
113021,中信转债,2019-03-19,117.394,18.87,-1.61,397.92,0.29,1.726,601998,中信银行,shmb
123192,科思转债,2023-05-11,179.499,19.08,-6.72,7.249,13.79,5.838,300856,科思股份,szcy
123089,九洲转2,2021-01-08,128.016,19.13,-1.85,3.06,5.28,3.526,300040,九洲集团,szcy
123141,宏丰转债,2022-04-08,123.6,19.18,-0.42,3.211,3.1,4.762,300283,温州宏丰,szcy
123067,斯莱转债,2020-10-15,140.5,19.3,-4.81,2.395,17.91,3.266,300382,斯莱克,szcy
123130,设研转债,2021-12-02,132.399,19.35,-2.85,3.755,7.67,4.419,300732,设研院,szcy
113549,白电转债,2019-12-11,119.968,19.44,-2.37,8.046,4.71,2.427,603861,白云电器,shmb
127027,能化转债,2021-01-22,120.616,19.89,-1.56,19.464,1.15,3.496,000552,甘肃能化,szmb
123176,精测转2,2023-03-22,172.501,19.97,-6.71,12.76,12.38,5.726,300567,精测电子,szcy
113027,华钰转债,2019-07-10,158.913,20.07,-15.8,2.385,46.32,2.005,601020,华钰矿业,shmb
123146,中环转2,2022-05-26,122.004,20.08,-0.22,8.64,1.28,4.904,300692,中环环保,szcy
113663,新化转债,2022-12-16,135.891,20.14,-2.24,6.499,3.92,5.468,603867,新化股份,shmb
118016,京源转债,2022-08-25,116.472,20.52,0.88,3.33,3.84,5.153,688096,京源环保,shkc
113058,友发转债,2022-04-26,118.038,20.6,-0.22,20.0,1.64,4.803,601686,友发集团,shmb
113504,艾华转债,2018-03-23,125.499,20.67,-21.49,4.627,2.23,0.723,603989,艾华集团,shmb
110079,杭银转债,2021-04-23,117.019,21.04,-1.21,149.985,0.59,3.797,600926,杭州银行,shmb
127014,北方转债,2019-11-21,228.9,21.05,-26.02,5.34,13.35,2.367,000065,北方国际,szmb
110047,山鹰转债,2018-12-10,116.083,21.2,-0.65,22.455,0.62,1.447,600567,山鹰国际,shmb
