bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
128100,搜特转债,stzz,18.002,-19.99,002503,*ST搜特,syt,0.42,-4.55,6.09,1.600,26.25,0,-31.42,-13.42,350209,szmb,C,2020-04-09,N,0,0,buy,CCC,,1.12,2.08,71.5,buy,2026-03-11,2.805,7.942,44266.84,365.87,267.57,97.48,,0,,,15:34:06,00,,Y,N,2,2,Y,转股价下修2次，成功下修2次,2020-09-18 开始转股,计算使用2.9年期 评级为CCC 债参考YTM：45.6273,N,8.0,全价：18.002 最后更新：15:34:06,,,,,buy
123118,惠城转债,hczz,312.131,8.21,300779,惠城环保,hchb,53.78,12.51,6.85,17.060,315.24,0,-0.99,311.14,760103,szcy,C,2021-07-26,N,0,0,buy,A+,,11.94,22.18,3.6,buy,2027-07-06,4.126,1.84,500996.41,68612.19,865.91,-20.85,,0,本次（2023年3月13日至2023年3月31日）不提前赎回，自2023年6月30日后首个交易日重新计算,G,15:34:06,00,,Y,N,0,0,Y,,2022-01-13 开始转股,计算使用4.2年期 评级为A+ 债参考YTM：8.5101,N,3.2,全价：312.131 最后更新：15:34:06,,,,,buy
113585,寿仙转债,sxzz,204.384,1.26,603896,寿仙谷,sxg,44.4,1.51,4.44,21.640,205.18,0,-0.39,203.99,370201,shmb,C,2020-07-07,N,0,0,buy,AA-,,15.15,28.13,0.9,buy,2026-06-08,3.049,0.81,20384.9,12200.55,123.56,-17.13,,0,公告要强赎,O,14:59:59,00,,Y,N,0,0,Y,,2020-12-15 开始转股,已公告要强赎，如不考虑强赎纯债价值为98.15元，计算使用3.1年期 评级为AA- 债参考YTM：5.9285,N,3.6,全价：204.384 最后更新：14:59:59,,,如不考虑强赎期权价值为116.95元,,buy
123148,上能转债,snzz,138.966,-2.51,300827,上能电气,sndq,50.65,-2.41,11.16,36.310,139.49,0,-0.38,138.59,630503,szcy,C,2022-07-01,N,0,0,buy,A+,,25.42,47.2,1.7,buy,2028-06-14,,1.462,22686.56,32965.81,110.54,,,0,"最后交易日：2023年5月24日
最后转股日：2023年5月29日
赎回价：100.29元/张",R,15:34:24,00,R,Y,N,0,0,Y,,2022-12-20 开始转股,强赎登记日2023-05-24，赎回价格100.290元，如不考虑强赎纯债价值为78.35元，计算使用5.1年期 评级为A+ 债参考YTM：8.6481,N,4.2,全价：138.966 最后更新：15:34:24,2023-05-24,100.290,如不考虑强赎期权价值为92.12元,,buy
110057,现代转债,xdzz,131.582,0.62,600420,国药现代,gyxd,12.52,0.72,1.52,9.510,131.65,0,-0.05,131.53,370102,shmb,C,2019-04-30,N,0,0,buy,AAA,,6.66,12.36,3.9,buy,2025-03-31,1.86,5.449,9117.67,20473.31,12.71,-10.25,,0,公告要强赎,O,15:00:00,00,R,Y,N,0,0,Y,,2019-10-08 开始转股,已公告要强赎，如不考虑强赎纯债价值为102.56元，计算使用1.9年期 评级为AAA 债参考YTM：2.7426,N,16.16,全价：131.582 最后更新：15:00:00,,,如不考虑强赎期权价值为42.81元,,buy
127058,科伦转债,klzz,198.361,-0.82,002422,科伦药业,klyy,31.79,-0.47,2.83,16.040,198.19,0,0.09,198.45,370102,szmb,C,2022-04-20,N,0,0,buy,AA+,,11.23,20.85,5.6,buy,2028-03-18,4.827,20.825,20518.48,45050.52,4.95,-11.26,,0,本次（2022年9月29日至2022年10月28日）不提前赎回，至2023年10月28日均不行使提前赎回权利,G,15:34:27,00,R,Y,N,0,0,Y,,2022-09-26 开始转股,计算使用4.9年期 评级为AA+ 债参考YTM：3.3072,N,30.0,全价：198.361 最后更新：15:34:27,,,,,buy
110061,川投转债,ctzz,174.091,1.21,600674,川投能源,ctny,15.25,1.53,1.95,8.800,173.3,0,0.46,174.55,410102,shmb,C,2019-12-02,N,0,0,buy,AAA,,6.16,11.44,5.1,buy,2025-11-10,2.474,34.81,50804.05,49614.3,8.31,-17.39,,0,本次（2022年11月16日至2022年12月9日）不提前赎回，以2023年12月10日为首个交易日重新起算,G,14:59:56,00,R,Y,N,0,0,Y,,2020-05-15 开始转股,计算使用2.5年期 评级为AAA 债参考YTM：2.8405,N,40.0,全价：174.091 最后更新：14:59:56,,,,,buy
110053,苏银转债,syzz,129.079,0.18,600919,江苏银行,jsyh,7.66,0.52,0.52,5.970,128.31,0,0.6,129.68,480401,shmb,C,2019-04-03,N,0,0,buy,AAA,,,7.76,14.4,buy,2025-03-13,1.811,161.511,33146.93,52863.56,1.59,-6.51,,0,,,14:59:56,00,R,Y,N,0,0,Y,,2019-09-20 开始转股,计算使用1.9年期 评级为AAA 债参考YTM：2.7426,N,200.0,全价：129.079 最后更新：14:59:56,,,,,buy
113534,鼎胜转债,dszz,226.571,-1.65,603876,鼎胜新材,dsxc,33.69,-1.12,2.55,14.980,224.9,0,0.74,227.31,240301,shmb,C,2019-04-30,N,0,0,buy,AA-,,10.49,19.47,2.4,buy,2025-04-08,1.882,3.921,28976.28,23311.25,32.09,-31.48,,0,,,14:59:58,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2019-10-16 开始转股,计算使用1.9年期 评级为AA- 债参考YTM：5.3511,N,12.54,全价：226.571 最后更新：14:59:58,,,,,buy
110077,洪城转债,hczz,133.583,1.18,600461,洪城环境,hchj,8.21,1.23,1.21,6.210,132.21,0,1.04,134.62,760102,shmb,C,2020-12-17,N,0,0,buy,AA+,,4.35,8.07,21.4,buy,2026-11-19,3.499,17.608,11930.57,9221.66,5.08,-4.75,,0,,,14:59:58,00,,Y,N,0,0,Y,,2021-05-26 开始转股,计算使用3.5年期 评级为AA+ 债参考YTM：3.1244,N,18.0,全价：133.583 最后更新：14:59:58,,,,,buy
