代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数
600637,东方明珠,2023-03-31,1,1460.8355,0.43,-2313.2903,1.11,2
600640,国脉文化,2023-03-31,1,227.2801,0.29,-94.62,0.4,1
600641,万业企业,2023-03-31,3,2142.4035,2.3,-992.2665,3.27,3
600642,申能股份,2023-03-31,3,5906.2452,1.2,-943.43,1.4,3
600644,乐山电力,2023-03-31,1,511.8866,0.95,511.8866,0.0,0
600649,城投控股,2023-03-31,2,1994.9994,0.79,300.1691,0.67,2
600651,飞乐音响,2023-03-31,1,1144.37,0.46,87.59,0.42,1
600657,信达地产,2023-03-31,1,1135.59,0.4,1135.59,0.0,0
600660,福耀玻璃,2023-03-31,1,3727.3663,1.43,-360.9618,1.57,1
600662,外服控股,2023-03-31,1,1223.0127,0.54,-111.94,0.58,1
600663,陆家嘴,2023-03-31,1,1943.6561,0.48,263.15,0.42,1
600665,天地源,2023-03-31,2,817.92,0.95,817.92,0.0,0
600667,太极实业,2023-03-31,1,1301.89,0.62,-1821.4665,1.48,2
600673,东阳光,2023-03-31,3,14085.4439,4.67,0.0,4.67,3
600675,中华企业,2023-03-31,1,3549.5766,0.58,561.27,0.49,1
600679,上海凤凰,2023-03-31,1,160.001,0.31,160.001,0.0,0
600681,百川能源,2023-03-31,1,3097.5579,2.27,-128.7263,2.37,1
600684,珠江股份,2023-03-31,1,392.858,0.46,392.858,0.0,0
600685,中船防务,2023-03-31,6,4059.8632,2.87,1367.7638,1.9,4
600690,海尔智家,2023-03-31,1,6084.3184,0.64,-1050.4798,0.76,1
600692,亚通股份,2023-03-31,1,222.91,0.63,8.71,0.61,1
600693,东百集团,2023-03-31,1,328.47,0.38,328.47,0.0,0
600694,大商股份,2023-03-31,1,212.1743,0.72,212.1743,0.0,0
600699,均胜电子,2023-03-31,2,1340.2944,0.98,-46.9575,1.01,2
600702,舍得酒业,2023-03-31,4,1948.7953,5.85,-41.4202,5.97,3
600703,三安光电,2023-03-31,5,25762.2426,5.16,6719.3754,3.82,4
600706,曲江文旅,2023-03-31,3,379.3901,1.49,267.74,0.44,1
600707,彩虹股份,2023-03-31,1,906.2207,0.25,-185.8,0.3,1
600713,南京医药,2023-03-31,1,424.7042,0.32,424.7042,0.0,0
600718,东软集团,2023-03-31,1,1244.4799,1.02,-674.98,1.57,1
600724,宁波富达,2023-03-31,1,324.19,0.22,324.19,0.0,0
600729,重庆百货,2023-03-31,1,1990.9544,4.9,0.0,4.9,1
600731,湖南海利,2023-03-31,4,1163.6338,2.08,494.3596,1.45,3
600732,爱旭股份,2023-03-31,2,1829.3091,1.4,-746.0963,2.26,3
600735,新华锦,2023-03-31,3,672.9582,1.57,-95.272,1.79,2
600736,苏州高新,2023-03-31,1,452.9175,0.39,452.9175,0.0,0
600737,中粮糖业,2023-03-31,1,838.0,0.39,-60.7774,0.42,1
600740,山西焦化,2023-03-31,2,2165.3888,0.85,-438.5808,1.02,2
600741,华域汽车,2023-03-31,2,3846.8773,1.22,1616.3598,0.71,1
600743,华远地产,2023-03-31,1,767.5139,0.33,767.5139,0.0,0
600744,华银电力,2023-03-31,3,470.91,0.23,162.01,0.15,2
600745,闻泰科技,2023-03-31,1,1733.1314,1.39,202.16,1.23,1
600749,西藏旅游,2023-03-31,1,121.69,0.54,121.69,0.0,0
600750,江中药业,2023-03-31,2,621.6648,0.99,282.3228,0.54,1
600895,张江高科,2023-03-31,3,1590.8749,1.03,-523.6399,1.37,4
600897,厦门空港,2023-03-31,2,415.4034,1.39,215.7534,0.67,1
600295,鄂尔多斯,2023-03-31,1,1696.2057,0.85,-73.4371,0.89,1
600320,振华重工,2023-03-31,1,2797.9621,0.53,-656.2964,0.66,1
1,平安银行,2023-03-31,1,6416.7068,0.33,-300.0,0.35,1
6,深振业A,2023-03-31,1,621.72,0.46,118.75,0.37,1
9,中国宝安,2023-03-31,4,5091.1576,1.97,-146.6055,2.03,4
11,深物业A,2023-03-31,1,138.9034,0.23,138.9034,0.0,0
21,深科技,2023-03-31,3,1819.0657,1.17,1059.3487,0.49,1
1872,招商港口,2023-03-31,1,643.0236,0.26,643.0236,0.0,0
25,特力A,2023-03-31,1,103.2175,0.24,19.47,0.19,1
27,深圳能源,2023-03-31,1,1188.2789,0.25,-429.38,0.34,1
28,国药一致,2023-03-31,2,619.7521,1.45,400.4321,0.51,1
31,大悦城,2023-03-31,2,1653.8692,0.39,-579.96,0.52,2
32,深桑达A,2023-03-31,2,1009.4688,0.89,68.7287,0.83,2
34,神州数码,2023-03-31,2,989.2473,1.48,-171.3988,1.74,2
35,中国天楹,2023-03-31,1,4176.9953,1.66,0.0,1.66,1
36,华联控股,2023-03-31,2,2132.672,1.44,537.44,1.08,2
1914,招商积余,2023-03-31,4,5102.3863,4.81,1436.1691,3.46,3
48,京基智农,2023-03-31,1,314.9939,0.6,314.9939,0.0,0
49,德赛电池,2023-03-31,3,987.1077,3.3,-1114.5208,7.02,5
60,中金岭南,2023-03-31,2,3252.3917,0.87,-335.24,0.96,2
62,深圳华强,2023-03-31,1,550.2891,0.53,-228.968,0.75,1
66,中国长城,2023-03-31,3,3633.2478,1.13,1863.55,0.55,1
69,华侨城A,2023-03-31,1,3556.1008,0.43,493.52,0.37,1
70,特发信息,2023-03-31,1,303.3262,0.36,303.3262,0.0,0
89,深圳机场,2023-03-31,1,644.98,0.31,-202.14,0.41,1
90,天健集团,2023-03-31,4,5766.8566,3.09,-357.4074,3.28,3
99,中信海直,2023-03-31,2,978.0,1.26,279.0,0.9,2
155,川能动力,2023-03-31,1,425.5577,0.29,-888.8969,0.89,2
158,常山北明,2023-03-31,2,1500.373,0.94,1500.373,0.0,0
400,许继电气,2023-03-31,2,1784.11,1.77,1784.11,0.0,0
402,金融街,2023-03-31,1,3338.5026,1.12,-969.9361,1.44,1
404,长虹华意,2023-03-31,1,392.34,0.56,392.34,0.0,0
416,*ST民控,2023-03-31,1,586.72,1.1,586.72,0.0,0
420,吉林化纤,2023-03-31,2,5671.41,2.31,-1458.29,2.9,3
421,南京公用,2023-03-31,1,260.6,0.45,260.6,0.0,0
423,东阿阿胶,2023-03-31,6,4544.4583,6.95,1834.7528,4.14,5
