代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数
951,中国重汽,2023-03-31,1,817.6804,0.7,-182.3284,0.85,1
957,中通客车,2023-03-31,1,308.51,0.52,30.22,0.47,1
960,锡业股份,2023-03-31,1,813.4853,0.49,-937.1836,1.06,2
961,中南建设,2023-03-31,3,3794.3765,0.99,-366.3574,1.09,3
963,华东医药,2023-03-31,4,8706.2335,4.96,113.34,4.9,4
965,天保基建,2023-03-31,1,364.577,0.33,72.14,0.26,1
969,安泰科技,2023-03-31,2,583.7817,0.57,221.79,0.35,1
970,中科三环,2023-03-31,1,568.8769,0.47,-231.58,0.66,1
975,银泰黄金,2023-03-31,3,15270.1068,5.5,1639.2602,4.91,3
977,浪潮信息,2023-03-31,3,1646.1125,1.12,368.606,0.87,3
978,桂林旅游,2023-03-31,1,176.97,0.38,176.97,0.0,0
983,山西焦煤,2023-03-31,1,2517.6223,0.48,-2811.39,1.3,2
989,九芝堂,2023-03-31,1,434.6,0.51,235.93,0.23,1
998,隆平高科,2023-03-31,3,6540.4863,4.97,2136.5921,3.34,3
999,华润三九,2023-03-31,7,7027.9241,7.11,1454.302,5.64,4
600537,亿晶光电,2023-03-31,1,1651.29,1.38,1651.29,0.0,0
600562,国睿科技,2023-03-31,1,645.43,0.52,-116.62,0.61,1
600576,祥源文旅,2023-03-31,2,1803.654,1.69,1310.314,0.46,1
600573,惠泉啤酒,2023-03-31,4,1008.87,4.04,900.08,0.44,1
600521,华海药业,2023-03-31,4,4944.7137,3.33,-1408.7156,4.28,4
600370,三房巷,2023-03-31,1,577.85,0.15,577.85,0.0,0
600460,士兰微,2023-03-31,3,4058.57,2.87,319.0828,2.64,3
600513,联环药业,2023-03-31,1,116.16,0.4,116.16,0.0,0
600375,汉马科技,2023-03-31,1,632.06,0.97,632.06,0.0,0
600502,安徽建工,2023-03-31,3,3020.273,1.76,1846.963,0.68,1
600481,双良节能,2023-03-31,1,1528.21,0.82,498.1646,0.55,1
600004,白云机场,2023-03-31,1,990.22,0.42,-2366.825,1.42,3
600459,贵研铂业,2023-03-31,3,4667.6976,6.13,374.5228,5.64,4
600392,盛和资源,2023-03-31,1,844.5251,0.48,-299.89,0.65,1
600584,长电科技,2023-03-31,5,8035.9251,4.52,1304.1725,3.78,4
600436,片仔癀,2023-03-31,1,812.7227,1.35,-4.39,1.35,1
600409,三友化工,2023-03-31,1,834.0,0.4,-1181.6484,0.98,2
600273,嘉化能源,2023-03-31,1,1274.79,0.91,-883.6235,1.54,2
600031,三一重工,2023-03-31,1,4571.0327,0.54,-223.2,0.56,1
600435,北方导航,2023-03-31,1,650.0,0.43,650.0,0.0,0
600439,瑞贝卡,2023-03-31,1,661.49,0.58,661.49,0.0,0
600475,华光环能,2023-03-31,7,2906.9682,3.08,2752.8207,0.16,1
600029,南方航空,2023-03-31,1,7064.4579,0.39,94.53,0.38,1
600546,山煤国际,2023-03-31,5,10549.602,5.32,-1790.4329,6.22,7
600489,中金黄金,2023-03-31,2,10723.7605,2.21,96.033,2.19,2
600348,华阳股份,2023-03-31,3,2980.6812,1.24,-1196.5251,1.74,4
600547,山东黄金,2023-03-31,1,2248.2653,0.5,153.9946,0.47,1
600449,宁夏建材,2023-03-31,1,166.2879,0.35,166.2879,0.0,0
600507,方大特钢,2023-03-31,1,757.6918,0.32,-270.59,0.44,1
600403,大有能源,2023-03-31,2,1428.4925,0.6,-721.1975,0.9,3
600406,国电南瑞,2023-03-31,1,2636.4617,0.39,-228.998,0.43,1
600469,风神股份,2023-03-31,1,360.44,0.49,360.44,0.0,0
600021,上海电力,2023-03-31,1,1361.18,0.48,-293.716,0.59,1
600184,光电股份,2023-03-31,1,252.4711,0.5,-6.59,0.51,1
600477,杭萧钢构,2023-03-31,1,1168.07,0.49,-397.42,0.66,1
600476,湘邮科技,2023-03-31,1,80.92,0.5,80.92,0.0,0
600325,华发股份,2023-03-31,3,9859.5159,4.66,-1716.3654,5.47,4
600438,通威股份,2023-03-31,2,7502.501,1.67,2334.2897,1.15,2
600479,千金药业,2023-03-31,4,2438.9271,5.67,619.8611,4.23,2
600284,浦东建设,2023-03-31,2,1449.8061,1.49,668.2411,0.81,1
600969,郴电国际,2023-03-31,1,279.48,0.76,279.48,0.0,0
600572,康恩贝,2023-03-31,2,8036.3488,3.13,1375.75,2.59,2
600988,赤峰黄金,2023-03-31,4,13319.5477,8.0,78.27,7.96,4
600976,健民集团,2023-03-31,6,1678.252,10.94,233.6757,9.42,5
600497,驰宏锌锗,2023-03-31,7,34778.3911,6.83,-2894.5783,7.4,6
600986,浙文互联,2023-03-31,2,2556.06,1.93,463.1785,1.58,2
600985,淮北矿业,2023-03-31,2,3070.7524,1.24,-196.1234,1.32,2
600990,四创电子,2023-03-31,2,367.8681,1.74,-50.769,1.98,3
600114,东睦股份,2023-03-31,2,1137.1759,1.84,-389.51,2.48,2
600980,北矿科技,2023-03-31,1,52.58,0.28,-1.26,0.28,1
600992,贵绳股份,2023-03-31,1,87.5036,0.36,87.5036,0.0,0
600993,马应龙,2023-03-31,1,343.5,0.8,-403.8251,1.73,2
600967,内蒙一机,2023-03-31,2,1775.131,1.04,215.5604,0.92,2
600491,龙元建设,2023-03-31,2,2576.1692,1.68,0.0,1.68,2
600495,晋西车轴,2023-03-31,1,269.5304,0.22,269.5304,0.0,0
600483,福能股份,2023-03-31,1,654.1616,0.33,-627.1303,0.66,2
600461,洪城环境,2023-03-31,3,2469.1095,2.27,-660.5422,2.87,4
600997,开滦股份,2023-03-31,4,2736.7827,1.72,648.5426,1.32,3
600966,博汇纸业,2023-03-31,4,2416.6227,1.81,349.0022,1.55,4
600975,新五丰,2023-03-31,6,6951.148,6.46,6336.3278,0.76,2
600420,国药现代,2023-03-31,1,805.89,0.69,805.89,0.0,0
2001,新和成,2023-03-31,1,1845.8933,0.6,233.88,0.52,1
2002,鸿达兴业,2023-03-31,2,2852.5978,0.91,-607.03,1.11,2
2003,伟星股份,2023-03-31,2,2785.5579,2.69,989.297,1.73,1
2006,精工科技,2023-03-31,1,1428.5695,3.14,1044.085,0.84,1
2007,华兰生物,2023-03-31,2,2854.3987,1.56,179.5929,1.47,2
600022,山东钢铁,2023-03-31,1,3427.5015,0.32,-1287.91,0.44,1
2011,盾安环境,2023-03-31,7,8794.0446,8.32,-377.2689,8.68,7
600982,宁波能源,2023-03-31,1,692.79,0.62,692.79,0.0,0
2014,永新股份,2023-03-31,1,493.69,0.81,58.5,0.71,1
2017,东信和平,2023-03-31,1,356.7693,0.8,356.7693,0.0,0
2025,航天电器,2023-03-31,4,2174.002,4.8,4.2421,4.79,4
600973,宝胜股份,2023-03-31,3,3517.4042,2.56,-110.3847,2.65,3
2028,思源电气,2023-03-31,4,4845.6216,6.29,-939.9104,7.51,5
2030,达安基因,2023-03-31,3,2736.543,1.95,474.4145,1.61,2
600971,恒源煤电,2023-03-31,5,3972.7675,3.31,-781.9252,3.96,5
2032,苏泊尔,2023-03-31,6,1872.4387,2.32,204.9432,2.06,4
2033,丽江股份,2023-03-31,4,2643.8293,4.81,-1704.3591,7.91,5
2034,旺能环境,2023-03-31,2,1953.5075,4.55,-162.27,4.93,2
2035,华帝股份,2023-03-31,2,1501.8003,1.77,718.5603,0.92,1
2036,联创电子,2023-03-31,3,6811.8501,6.34,-798.0732,7.09,3
2037,保利联合,2023-03-31,2,1143.37,2.36,-1047.91,4.53,3
600027,华电国际,2023-03-31,2,10725.5047,1.08,-3524.1308,1.44,3
600970,中材国际,2023-03-31,2,2183.0054,0.83,747.5204,0.63,1
2041,登海种业,2023-03-31,6,4940.3175,5.61,-96.99,5.72,6
2043,兔宝宝,2023-03-31,4,3122.6117,3.7,-1284.1971,5.7,5
2045,国光电器,2023-03-31,1,509.7315,1.09,509.7315,0.0,0
2046,国机精工,2023-03-31,4,2145.0017,4.05,-1890.3294,7.63,6
2048,宁波华翔,2023-03-31,2,3330.1975,4.09,-643.2633,4.88,3
2049,紫光国微,2023-03-31,5,5165.2469,6.08,220.2286,5.82,5
2050,三花智控,2023-03-31,4,10312.3583,2.87,5041.8967,1.47,2
601588,北辰实业,2023-03-31,1,1044.7387,0.31,204.0087,0.25,1
688396,华润微,2023-03-31,4,5817.4866,4.41,338.1219,4.15,4
600938,中国海油,2023-03-31,3,6814.4806,0.14,-5206.2774,0.25,3
601991,大唐发电,2023-03-31,4,19745.9126,1.07,3644.4666,0.87,3
601633,长城汽车,2023-03-31,5,8170.8261,0.96,-606.8815,1.0,5
601866,中远海发,2023-03-31,1,2360.6747,0.17,-891.72,0.24,1
688385,复旦微电,2023-03-31,5,3420.1286,4.19,2142.2081,1.56,2
300150,世纪瑞尔,2023-03-31,1,337.94,0.58,12.59,0.56,1
603927,中科软,2023-03-31,2,1090.2115,1.84,15.9915,1.81,2
2051,中工国际,2023-03-31,3,1312.5397,1.06,765.3797,0.44,1
2736,国信证券,2023-03-31,1,5998.3092,0.62,232.45,0.6,1
600999,招商证券,2023-03-31,1,8015.1703,0.92,296.6768,0.89,1
601456,国联证券,2023-03-31,3,4991.5149,1.76,-207.7361,1.84,3
2926,华西证券,2023-03-31,1,3490.1049,1.33,152.44,1.27,1
601236,红塔证券,2023-03-31,2,3311.6081,0.7,58.5756,0.69,2
600909,华安证券,2023-03-31,1,6010.0163,1.28,225.2856,1.23,1
601377,兴业证券,2023-03-31,2,25943.8529,3.0,1466.8216,2.83,2
601901,方正证券,2023-03-31,2,15494.7416,1.88,699.3327,1.8,2
601788,光大证券,2023-03-31,2,7169.923,1.56,827.2062,1.38,2
2500,山西证券,2023-03-31,2,8091.0483,2.25,380.86,2.15,2
2939,长城证券,2023-03-31,2,4220.0888,1.05,911.75,0.82,2
2797,第一创业,2023-03-31,2,12525.9941,2.98,640.43,2.83,2
2945,华林证券,2023-03-31,2,1072.1329,0.4,-360.77,0.53,3
600958,东方证券,2023-03-31,1,11288.7537,1.33,416.9959,1.28,1
601211,国泰君安,2023-03-31,1,9552.9221,1.07,360.7917,1.03,1
601162,天风证券,2023-03-31,2,24708.8682,2.85,24708.8682,0.0,0
601881,中国银河,2023-03-31,2,4896.4329,0.48,219.6123,0.46,2
2673,西部证券,2023-03-31,2,9543.3587,2.14,488.03,2.03,2
600918,中泰证券,2023-03-31,2,10496.6189,1.51,467.7975,1.44,2
600906,财达证券,2023-03-31,1,2686.1938,0.83,2686.1938,0.0,0
601696,中银证券,2023-03-31,2,5621.9531,2.02,-305.9803,2.13,2
601878,浙商证券,2023-03-31,2,7372.5359,1.9,409.1494,1.8,2
601375,中原证券,2023-03-31,2,9460.8698,2.04,471.84,1.94,2
601998,中信银行,2023-03-31,1,5244.0985,0.11,-229.8755,0.11,1
601628,中国人寿,2023-03-31,2,3175.5814,0.11,-1197.1329,0.15,3
601319,中国人保,2023-03-31,2,5576.3576,0.13,-2347.1214,0.18,3
601336,新华保险,2023-03-31,1,933.8194,0.3,-111.02,0.33,1
600032,浙江新能,2023-03-31,4,561.6392,0.27,87.3092,0.23,3
1979,招商蛇口,2023-03-31,1,6606.7408,0.85,-100.0044,0.87,1
2307,北新路桥,2023-03-31,2,814.49,0.64,0.0,0.64,2
300927,江天化学,2023-03-31,1,100.0992,0.69,100.0992,0.0,0
601155,新城控股,2023-03-31,3,3346.206,1.48,1455.4434,0.84,2
300181,佐力药业,2023-03-31,2,1225.4092,1.75,1225.4092,0.0,0
2110,三钢闽光,2023-03-31,1,1032.8714,0.42,-48.5627,0.44,1
603100,川仪股份,2023-03-31,5,3101.8092,7.85,597.112,6.34,5
2281,光迅科技,2023-03-31,3,577.054,0.74,-495.1509,1.54,5
688387,信科移动,2023-03-31,3,2414.385,0.71,2414.385,0.0,0
601857,中国石油,2023-03-31,1,8120.1401,0.04,8120.1401,0.0,0
688432,有研硅,2023-03-31,1,100.0,0.08,100.0,0.0,0
688981,中芯国际,2023-03-31,4,22441.4494,2.83,871.0514,2.73,4
2106,莱宝高科,2023-03-31,1,173.0427,0.25,173.0427,0.0,0
688183,生益电子,2023-03-31,1,459.0045,0.55,459.0045,0.0,0
601995,中金公司,2023-03-31,2,3166.3888,0.66,1462.4259,0.35,1
301039,中集车辆,2023-03-31,1,800.7,0.4,800.7,0.0,0
688777,中控技术,2023-03-31,2,2011.6952,4.03,-329.3777,4.71,2
688722,同益中,2023-03-31,1,220.6135,0.98,5.0881,0.96,1
688205,德科立,2023-03-31,6,237.8165,2.44,-85.6163,3.32,5
300077,国民技术,2023-03-31,2,1113.2638,1.87,-850.7145,3.3,2
601088,中国神华,2023-03-31,1,2595.9864,0.13,-226.42,0.14,1
2060,粤水电,2023-03-31,1,752.3124,0.22,-64.4676,0.68,1
601116,三江购物,2023-03-31,1,138.0166,0.25,-15.3,0.28,1
300105,龙源技术,2023-03-31,4,1401.3609,2.7,-1862.8359,6.29,5
688071,华依科技,2023-03-31,1,147.5486,2.03,0.0,2.03,1
688789,宏华数科,2023-03-31,1,50.0096,0.6,50.0096,0.0,0
300026,红日药业,2023-03-31,4,14774.9062,4.92,166.8596,4.86,5
2139,拓邦股份,2023-03-31,1,1859.7314,1.46,82.29,1.4,1
601333,广深铁路,2023-03-31,1,2122.5605,0.3,-5166.4399,1.03,1
2187,广百股份,2023-03-31,1,188.52,0.27,188.52,0.0,0
300342,天银机电,2023-03-31,1,335.404,0.79,335.404,0.0,0
300601,康泰生物,2023-03-31,4,4007.3338,3.59,532.8718,3.1,3
688300,联瑞新材,2023-03-31,1,125.9123,1.01,-32.5862,1.27,1
601512,中新集团,2023-03-31,3,1477.8231,0.99,1477.8231,0.0,0
2088,鲁阳节能,2023-03-31,4,3105.2618,6.13,-237.495,6.6,4
2643,万润股份,2023-03-31,2,4271.7408,4.59,-202.525,4.81,2
2332,仙琚制药,2023-03-31,4,6110.1765,6.18,-594.7341,6.78,4
601126,四方股份,2023-03-31,2,764.3631,0.94,394.8,0.45,1
2267,陕天然气,2023-03-31,2,1554.9132,1.4,-12.06,1.41,2
2153,石基信息,2023-03-31,2,3702.4748,1.76,1288.6956,1.15,1
300388,节能国祯,2023-03-31,1,190.77,0.27,190.77,0.0,0
601598,中国外运,2023-03-31,3,5165.547,0.71,2747.3056,0.33,2
2275,桂林三金,2023-03-31,1,627.4381,1.07,219.8051,0.69,1
2777,久远银海,2023-03-31,4,1442.9695,3.53,-84.1407,3.74,1
2063,远光软件,2023-03-31,3,4800.338,3.02,1456.8468,2.11,2
688388,嘉元科技,2023-03-31,5,1649.2981,5.42,160.5835,4.89,4
601038,一拖股份,2023-03-31,1,99.37,0.09,-5.9473,0.09,1
601111,中国国航,2023-03-31,2,8576.3865,0.53,-267.2,0.61,2
2205,国统股份,2023-03-31,1,99.31,0.53,99.31,0.0,0
603232,格尔软件,2023-03-31,2,482.754,2.07,284.954,0.85,1
2056,横店东磁,2023-03-31,5,8912.0342,5.48,816.4558,4.98,4
2940,昂利康,2023-03-31,2,849.7614,6.11,75.75,5.56,2
2116,中国海诚,2023-03-31,4,699.0538,1.63,321.82,0.88,2
300732,设研院,2023-03-31,1,169.652,0.52,169.652,0.0,0
603867,新化股份,2023-03-31,4,1257.5709,6.78,-210.5188,7.95,4
601838,成都银行,2023-03-31,1,3388.878,0.91,-611.0,1.07,1
2272,川润股份,2023-03-31,1,186.03,0.42,0.0,0.42,1
688278,特宝生物,2023-03-31,1,312.502,0.77,-441.5523,1.85,3
2338,奥普光电,2023-03-31,1,211.41,0.88,-84.77,1.23,2
603259,药明康德,2023-03-31,1,6253.6059,2.11,-9.5413,2.12,1
688265,南模生物,2023-03-31,1,55.0,0.71,-10.7654,0.84,1
603345,安井食品,2023-03-31,2,596.6814,2.03,-145.5287,2.53,3
601108,财通证券,2023-03-31,2,12258.19,2.64,535.2852,2.52,2
2185,华天科技,2023-03-31,3,12434.7803,3.88,1565.92,3.39,3
601099,太平洋,2023-03-31,4,29039.3276,4.26,629.5579,4.17,4
2600,领益智造,2023-03-31,2,4033.1117,0.57,1014.4632,0.43,2
300149,睿智医药,2023-03-31,1,1930.0,3.86,-291.7155,4.45,1
2320,海峡股份,2023-03-31,1,934.5443,0.42,934.5443,0.0,0
301188,力诺特玻,2023-03-31,3,783.1706,3.37,783.1706,0.0,0
300451,创业慧康,2023-03-31,4,14265.1034,9.21,-252.447,9.37,4
2195,二三四五,2023-03-31,2,7307.1426,1.28,-3199.71,1.84,2
2101,广东鸿图,2023-03-31,1,419.9952,0.79,-179.9974,1.13,1
2206,海利得,2023-03-31,2,5987.7296,5.13,-4336.4823,8.84,3
2196,方正电机,2023-03-31,2,1960.645,3.93,-743.487,5.42,3
2059,云南旅游,2023-03-31,1,361.96,0.36,64.62,0.29,1
688779,长远锂科,2023-03-31,2,5663.6708,2.94,1514.295,2.15,1
601168,西部矿业,2023-03-31,1,1141.3773,0.48,-429.48,0.66,1
2222,福晶科技,2023-03-31,2,509.05,1.19,136.32,0.87,2
688776,国光电气,2023-03-31,5,334.6707,4.32,25.8205,3.99,4
300294,博雅生物,2023-03-31,2,2077.1821,4.12,-97.0629,4.31,2
601128,常熟银行,2023-03-31,2,7557.7561,2.76,-2802.8975,3.78,2
2119,康强电子,2023-03-31,1,110.72,0.3,110.72,0.0,0
3036,泰坦股份,2023-03-31,2,389.19,1.8,167.5745,1.03,2
601068,中铝国际,2023-03-31,1,209.0,0.07,-88.87,0.1,1
2080,中材科技,2023-03-31,2,1444.3824,0.86,-173.1829,0.96,3
2061,浙江交科,2023-03-31,1,944.63,0.51,-345.2,0.69,1
601919,中远海控,2023-03-31,1,5010.834,0.31,-3791.0389,0.55,2
601066,中信建投,2023-03-31,3,5934.3394,0.77,114.5862,0.75,3
301207,华兰疫苗,2023-03-31,2,90.8362,0.23,-188.8233,0.7,7
603689,皖天然气,2023-03-31,1,186.56,0.39,-147.134,0.71,2
688203,海正生材,2023-03-31,6,916.2412,4.52,185.3271,3.61,5
2960,青鸟消防,2023-03-31,1,535.1494,0.95,-26.47,1.0,1
300034,钢研高纳,2023-03-31,4,3817.342,7.86,-699.2658,9.29,5
603237,五芳斋,2023-03-31,2,50.0075,0.49,-46.6136,0.96,3
300573,兴齐眼药,2023-03-31,3,636.8324,7.19,-82.807,8.13,4
601677,明泰铝业,2023-03-31,2,3425.6385,3.53,-2853.4655,6.47,3
601808,中海油服,2023-03-31,4,2304.2151,0.48,328.5911,0.41,3
2743,富煌钢构,2023-03-31,3,1551.7675,3.57,14.34,3.53,3
2534,西子洁能,2023-03-31,5,961.4561,1.3,-88.7907,1.42,5
601880,辽港股份,2023-03-31,1,4281.3573,0.18,-1610.95,0.25,1
2182,云海金属,2023-03-31,3,1994.3212,3.09,547.9021,2.24,3
603385,惠达卫浴,2023-03-31,1,327.81,0.85,327.81,0.0,0
600025,华能水电,2023-03-31,1,3759.689,0.21,-2447.1498,0.34,2
2430,杭氧股份,2023-03-31,1,869.2395,0.88,-500.0,1.39,2
2405,四维图新,2023-03-31,2,6062.2956,2.55,361.79,2.39,2
2176,江特电机,2023-03-31,5,9423.9136,5.52,-1107.708,6.17,5
300684,中石科技,2023-03-31,1,139.87,0.5,-830.0279,3.45,3
601001,晋控煤业,2023-03-31,4,7985.3356,4.77,-2817.4076,6.45,6
688363,华熙生物,2023-03-31,2,725.1801,1.51,-46.4776,1.6,2
603118,共进股份,2023-03-31,2,1227.1964,1.55,198.6964,1.3,2
2202,金风科技,2023-03-31,2,3709.0702,0.88,-1097.5618,1.14,3
601965,中国汽研,2023-03-31,6,4238.0455,4.22,1101.581,3.12,4
603508,思维列控,2023-03-31,1,249.9948,0.66,-449.1055,1.83,3
2463,沪电股份,2023-03-31,6,6618.6722,3.49,4039.8878,1.36,2
2425,凯撒文化,2023-03-31,3,1871.32,1.96,1098.05,0.81,1
688248,南网科技,2023-03-31,7,1052.6059,1.86,-445.2669,2.65,9
2146,荣盛发展,2023-03-31,1,1430.02,0.33,1430.02,0.0,0
2065,东华软件,2023-03-31,1,1351.3528,0.42,-491.07,0.57,1
2057,中钢天源,2023-03-31,1,3000.0576,3.95,164.9687,3.74,1
603093,南华期货,2023-03-31,2,1406.0068,2.3,1406.0068,0.0,0
600048,保利发展,2023-03-31,1,12581.6232,1.05,0.0,1.05,1
601699,潞安环能,2023-03-31,2,5899.1806,1.97,494.2039,1.81,2
603199,九华旅游,2023-03-31,5,598.42,5.41,180.78,3.77,3
2240,盛新锂能,2023-03-31,1,1833.1626,2.01,-96.48,2.12,1
2234,民和股份,2023-03-31,2,1002.2016,2.87,-80.26,3.1,3
2078,太阳纸业,2023-03-31,4,15815.0123,5.66,-1046.3891,6.03,4
2145,中核钛白,2023-03-31,2,7946.4155,2.05,-5719.5385,4.59,3
2064,华峰化学,2023-03-31,1,4275.2551,0.86,599.9872,0.74,1
2073,软控股份,2023-03-31,1,1066.51,1.1,1066.51,0.0,0
2208,合肥城建,2023-03-31,1,264.098,0.33,52.72,0.26,1
2079,苏州固锝,2023-03-31,1,695.3323,0.86,39.427,0.81,1
2141,贤丰控股,2023-03-31,1,625.5375,0.55,625.5375,0.0,0
601666,平煤股份,2023-03-31,1,2425.3335,1.05,-101.9709,1.09,1
600901,江苏金租,2023-03-31,1,1218.81,0.41,-1863.222,1.03,3
2068,黑猫股份,2023-03-31,6,7479.8988,10.0,859.8607,8.85,5
300024,机器人,2023-03-31,1,728.6506,0.47,-305.45,0.67,1
2396,星网锐捷,2023-03-31,1,331.4,0.56,-807.8067,1.95,3
601898,中煤能源,2023-03-31,2,4688.6395,0.35,-2760.5817,0.56,3
600989,宝丰能源,2023-03-31,1,3987.2372,0.54,-284.62,0.58,1
300376,易事特,2023-03-31,4,3958.8499,1.7,596.96,1.44,4
601015,陕西黑猫,2023-03-31,4,2865.5067,1.4,176.3795,1.32,3
601918,新集能源,2023-03-31,3,3138.9498,1.21,-1153.8057,1.66,3
2461,珠江啤酒,2023-03-31,4,2374.977,1.07,-507.1173,1.3,5
301058,中粮科工,2023-03-31,3,692.5759,1.35,-60.4265,1.47,3
688119,中钢洛耐,2023-03-31,1,224.56,0.2,224.56,0.0,0
2154,报喜鸟,2023-03-31,6,11679.0988,8.0,1905.1843,6.7,5
601058,赛轮轮胎,2023-03-31,4,22168.6414,7.24,2664.4706,6.37,3
2074,国轩高科,2023-03-31,3,5278.1021,2.97,119.521,2.9,3
300049,福瑞股份,2023-03-31,3,1292.5859,4.91,551.53,2.82,2
2843,泰嘉股份,2023-03-31,1,472.7382,2.23,-522.0,4.7,3
601800,中国交建,2023-03-31,2,4285.7899,0.27,-2017.1774,0.39,3
2386,天原股份,2023-03-31,1,336.219,0.33,-763.9399,1.08,2
2092,中泰化学,2023-03-31,1,1269.0514,0.49,-475.68,0.67,1
601872,招商轮船,2023-03-31,3,10537.3777,1.3,6105.2574,0.55,1
2093,国脉科技,2023-03-31,1,133.9014,0.13,133.9014,0.0,0
2100,天康生物,2023-03-31,2,2903.8839,2.14,1043.41,1.37,2
601101,昊华能源,2023-03-31,3,1546.3779,1.07,-434.564,1.38,3
601908,京运通,2023-03-31,4,9506.3291,3.94,547.5238,3.71,4
603693,江苏新能,2023-03-31,1,106.0158,0.12,-115.445,0.25,2
2105,信隆健康,2023-03-31,2,903.5905,2.45,0.0,2.45,2
2917,金奥博,2023-03-31,1,366.26,1.05,0.0,1.05,1
603360,百傲化学,2023-03-31,2,220.38,0.85,48.8625,0.66,1
688187,时代电气,2023-03-31,5,2815.6015,1.99,-1335.4043,2.93,4
2121,科陆电子,2023-03-31,5,8248.4009,5.86,4318.9701,2.79,3
2115,三维通信,2023-03-31,1,269.11,0.33,269.11,0.0,0
2114,罗平锌电,2023-03-31,1,184.88,0.57,17.72,0.52,1
2120,韵达股份,2023-03-31,5,20603.7001,7.1,5140.6504,5.33,3
2250,联化科技,2023-03-31,6,9469.0672,10.26,307.7892,9.92,5
601177,杭齿前进,2023-03-31,1,224.01,0.56,224.01,0.0,0
2349,精华制药,2023-03-31,1,139.18,0.17,-28.71,0.21,1
2135,东南网架,2023-03-31,1,573.4424,0.49,-234.28,0.69,1
2124,天邦食品,2023-03-31,3,3220.4544,1.75,-241.2704,1.88,3
601003,柳钢股份,2023-03-31,4,4320.9683,1.69,4320.9683,0.0,0
603348,文灿股份,2023-03-31,4,2243.881,8.51,386.4593,7.05,3
2123,梦网科技,2023-03-31,1,3964.33,4.94,-28.92,4.98,1
601007,金陵饭店,2023-03-31,4,1649.657,4.23,-651.704,5.9,5
603888,新华网,2023-03-31,1,181.9466,0.35,181.9466,0.0,0
2126,银轮股份,2023-03-31,3,3645.8479,4.6,751.599,3.65,2
688599,天合光能,2023-03-31,4,11271.3278,5.19,1207.8882,4.64,4
300760,迈瑞医疗,2023-03-31,2,2228.225,1.84,-171.1535,1.98,2
2129,TCL中环,2023-03-31,4,10181.3259,3.15,677.7643,2.94,4
601658,邮储银行,2023-03-31,1,6888.7404,0.07,6888.7404,0.0,0
2127,南极电商,2023-03-31,1,1230.29,0.5,-429.67,0.68,1
2131,利欧股份,2023-03-31,2,8650.7802,1.28,-3838.95,1.85,2
601118,海南橡胶,2023-03-31,2,2100.8695,0.49,-696.27,0.65,2
2136,安纳达,2023-03-31,1,145.26,0.68,145.26,0.0,0
601958,金钼股份,2023-03-31,2,1710.693,0.53,-911.59,0.81,3
2705,新宝股份,2023-03-31,2,699.8045,0.85,-512.2486,1.47,2
688232,新点软件,2023-03-31,7,2323.3159,7.04,1008.9289,3.98,4
300016,北陆药业,2023-03-31,1,181.99,0.37,181.99,0.0,0
300803,指南针,2023-03-31,1,244.2603,0.6,244.2603,0.0,0
603993,洛阳钼业,2023-03-31,1,18860.98,0.87,0.0,0.87,1
2138,顺络电子,2023-03-31,2,5609.1872,6.96,-120.0,7.11,2
300373,扬杰科技,2023-03-31,4,1510.3375,2.95,-231.8444,3.4,4
601811,新华文轩,2023-03-31,2,826.871,0.67,249.8,0.47,1
2170,芭田股份,2023-03-31,1,367.39,0.41,367.39,0.0,0
601028,玉龙股份,2023-03-31,1,729.5493,0.93,-462.497,1.52,1
2144,宏达高科,2023-03-31,1,141.11,0.8,141.11,0.0,0
2371,北方华创,2023-03-31,4,2401.7905,4.54,-226.1695,4.97,4
2159,三特索道,2023-03-31,2,357.23,2.01,-31.23,2.19,2
2152,广电运通,2023-03-31,1,729.8873,0.29,-285.23,0.41,1
2149,西部材料,2023-03-31,4,3756.6989,7.69,308.57,7.06,4
2157,*ST正邦,2023-03-31,1,1375.5822,0.43,220.0208,0.36,1
2151,北斗星通,2023-03-31,2,598.4685,1.17,289.81,0.6,1
2156,通富微电,2023-03-31,5,4466.2038,2.95,164.1792,2.84,5
2155,湖南黄金,2023-03-31,3,5359.4453,4.46,-1038.9101,5.32,3
2158,汉钟精机,2023-03-31,2,1455.9852,2.72,-268.17,3.22,3
2160,常铝股份,2023-03-31,2,1049.7969,1.02,604.9669,0.56,1
2254,泰和新材,2023-03-31,1,523.5756,0.61,-1418.7159,2.76,3
2163,海南发展,2023-03-31,1,481.5159,0.57,-117.51,0.71,1
688122,西部超导,2023-03-31,4,4532.0241,9.77,-168.2489,10.13,4
688269,凯立新材,2023-03-31,3,605.6584,4.63,-138.1228,5.69,4
2192,融捷股份,2023-03-31,5,1361.9887,5.25,-738.2726,8.09,6
601200,上海环境,2023-03-31,1,211.7404,0.19,211.7404,0.0,0
603069,海汽集团,2023-03-31,4,458.1911,1.45,122.2311,1.06,2
2174,游族网络,2023-03-31,1,694.9735,0.76,-45.0365,0.81,1
2179,中航光电,2023-03-31,1,2775.3392,1.7,-1212.2519,2.44,2
2180,纳思达,2023-03-31,5,7281.7669,5.14,2953.5505,3.06,3
2304,洋河股份,2023-03-31,3,7528.3844,5.0,-1252.3197,5.83,3
