bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,short_maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
127057,盘龙转债,plzz,142.1,-3.99,002864,盘龙药业,plyy,38.29,-2.97,3.67,26.41,144.98,0,-1.99,140.11,370201,szmb,C,2022-04-08,N,0,0,buy,A+,,18.49,34.33,6.2,buy,28-03-03,,1.285,71589.56,39154.05,381.68,,,0,"最后交易日：2023年3月24日
最后转股日：2023年3月29日
赎回价：100.05元/张",R,15:34:54,00,,Y,N,0,0,Y,,2022-09-09 开始转股,强赎登记日2023-03-24，赎回价格100.050元，如不考虑强赎纯债价值为80.24元，计算使用5.0年期 评级为A+ 债参考YTM：8.8930,N,2.76,全价：142.100 最后更新：15:34:54,2023-03-24,100.050,如不考虑强赎期权价值为97.94元,,buy
123118,惠城转债,hczz,231.784,-3.07,300779,惠城环保,hchb,40.2,-1.93,5.78,17.06,235.64,0,-1.64,230.14,760103,szcy,C,2021-07-26,N,0,0,buy,A+,,11.94,22.18,6.9,buy,27-07-06,4.288,2.492,24487.74,9228.57,41.36,-14.3,,0,,,15:34:06,00,,Y,N,0,0,Y,,2022-01-13 开始转股,计算使用4.3年期 评级为A+ 债参考YTM：8.6632,N,3.2,全价：231.784 最后更新：15:34:06,,,,,buy
113595,花王转债,hwzz,132.831,-0.05,603007,ST花王,sthw,5.99,1.01,4.41,4.48,133.71,0,-0.65,132.18,620307,shmb,C,2020-08-18,N,0,0,buy,B+,,3.14,5.82,15.8,buy,26-07-20,3.326,3.161,41150.87,7686.79,98.87,-2.09,,0,,,15:00:00,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-01-27 开始转股,,N,3.3,全价：132.831 最后更新：15:00:00,,,,,buy
123057,美联转债,mlzz,168.399,-0.83,300586,美联新材,mlxc,16.07,-1.05,5.49,9.5,169.16,0,-0.45,167.95,220503,szcy,C,2020-07-27,N,0,0,buy,AA-,,6.65,12.35,2.6,buy,26-06-30,,1.606,11255.32,11494.13,41.33,,,0,"最后交易日：2023年4月7日
最后转股日：2023年4月12日
赎回价：100.784元/张",R,15:34:30,00,R,Y,N,0,0,Y,,2021-01-07 开始转股,强赎登记日2023-04-07，赎回价格100.784元，如不考虑强赎纯债价值为96.78元，计算使用3.3年期 评级为AA- 债参考YTM：6.1189,N,2.07,全价：168.399 最后更新：15:34:30,2023-04-07,100.784,如不考虑强赎期权价值为98.54元,,buy
128078,太极转债,tjzz,194.972,-3.56,002368,太极股份,tjgf,43.04,-2.62,6.88,22.02,195.46,0,-0.25,194.72,710301,szmb,C,2019-11-08,N,0,0,buy,AA,,15.41,28.63,2.3,buy,25-10-21,2.581,5.89,94887.58,107354.77,80.72,-18.65,,0,已满足强赎条件,B,15:34:45,00,R,Y,N,0,0,Y,,2020-04-27 开始转股,如不考虑强赎纯债价值为105.83元，计算使用2.6年期 评级为AA 债参考YTM：3.4355,N,10.0,全价：194.972 最后更新：15:34:45,,,,,buy
123083,朗新转债,lxzz,177.9,1.36,300682,朗新科技,lxkj,27.1,1.01,4.33,15.2,178.29,0,-0.22,177.68,710301,szcy,C,2021-01-06,N,0,0,buy,AA,,10.64,19.76,1.8,buy,26-12-09,,5.006,24313.34,17172.2,27.47,,,0,"最后交易日：2023年4月17日
最后转股日：2023年4月20日
赎回价：100.36元/张",R,15:34:27,00,R,Y,N,0,0,Y,,2021-06-15 开始转股,强赎登记日2023-04-17，赎回价格100.360元，如不考虑强赎纯债价值为99.94元，计算使用3.8年期 评级为AA 债参考YTM：3.7550,N,8.0,全价：177.900 最后更新：15:34:27,2023-04-17,100.360,如不考虑强赎期权价值为102.98元,,buy
128114,正邦转债,zbzz,93.101,-0.42,002157,正邦科技,zbkj,3.36,-1.18,146.09,3.62,92.82,0,0.31,93.41,110702,szmb,C,2020-07-15,N,0,0,buy,B,,2.53,4.71,16.0,buy,26-06-16,3.233,13.121,4741.45,7989.04,3.88,6.71,,0,,,15:34:03,00,R,Y,N,3,3,Y,转股价下修3次，成功下修3次,2020-12-23 开始转股,计算使用3.3年期 评级为B 债参考YTM：36.9289,N,16.0,全价：93.101 最后更新：15:34:03,,,,,buy
110061,川投转债,ctzz,152.38,-0.96,600674,川投能源,ctny,13.11,-1.65,1.8,8.8,148.98,0,2.28,154.66,410102,shmb,C,2019-12-02,N,0,0,buy,AAA,,6.16,11.44,6.0,buy,25-11-10,2.636,34.82,3447.77,7775.1,0.65,-12.01,,0,本次（2022年11月16日至2022年12月9日）不提前赎回，以2023年12月10日为首个交易日重新起算,G,14:59:56,00,R,Y,N,0,0,Y,,2020-05-15 开始转股,计算使用2.7年期 评级为AAA 债参考YTM：3.0494,N,40.0,全价：152.380 最后更新：14:59:56,,,,,buy
128081,海亮转债,hlzz,127.433,-0.11,002203,海亮股份,hlgf,11.95,-0.33,1.95,9.62,124.22,0,2.59,130.02,240302,szmb,C,2019-12-16,N,0,0,buy,AA,,6.73,12.51,12.2,buy,25-11-21,2.666,28.231,2507.71,2131.22,0.7,-4.38,,0,,,15:34:48,00,R,Y,N,0,0,Y,,2020-05-27 开始转股,计算使用2.7年期 评级为AA 债参考YTM：3.4968,N,31.5,全价：127.433 最后更新：15:34:48,,,,,buy
110052,贵广转债,ggzz,171.822,0.02,600996,贵广网络,ggwl,13.29,-0.08,3.23,7.94,167.38,0,2.65,174.47,721001,shmb,C,2019-03-29,N,0,0,buy,AA+,,5.56,10.32,1.8,buy,25-03-05,1.951,2.893,21927.85,25323.47,43.7,-18.74,,0,,,15:00:00,00,R,Y,N,0,0,Y,,2019-09-11 开始转股,计算使用2.0年期 评级为AA+ 债参考YTM：3.0700,N,16.0,全价：171.822 最后更新：15:00:00,,,,,buy
