bond_id,bond_nm,list_dt,price,premium_rt,ytm_rt,curr_iss_amt,turnover_rt,year_left,stock_id,stock_nm,market_cd
123136,城市转债,2022-02-15,122.6,-0.69,,3.22,232.3,,300778,新城市,szcy
110057,现代转债,2019-04-30,125.936,-0.61,,5.355,21.45,,600420,国药现代,shmb
123148,上能转债,2022-07-01,136.2,-0.37,,0.976,256.75,,300827,上能电气,szcy
113585,寿仙转债,2020-07-07,204.034,0.12,,0.77,87.99,,603896,寿仙谷,shmb
110061,川投转债,2019-12-02,169.158,0.24,-16.45,34.8,2.57,2.468,600674,川投能源,shmb
127058,科伦转债,2022-04-20,197.83,0.32,-11.22,20.823,3.2,4.822,002422,科伦药业,szmb
113534,鼎胜转债,2019-04-30,224.541,0.47,-31.22,3.92,26.19,1.877,603876,鼎胜新材,shmb
127028,英特转债,2021-03-10,131.209,1.11,-4.29,5.757,10.75,3.619,000411,英特集团,szmb
123092,天壕转债,2021-01-15,242.262,1.4,-18.01,4.142,4.48,3.586,300332,天壕环境,szcy
128081,海亮转债,2019-12-16,126.7,1.49,-4.45,27.864,1.65,2.499,002203,海亮股份,szmb
110053,苏银转债,2019-04-03,127.025,1.52,-5.68,161.511,2.43,1.805,600919,江苏银行,shmb
110077,洪城转债,2020-12-17,130.154,1.54,-4.04,17.608,3.21,3.493,600461,洪城环境,shmb
123118,惠城转债,2021-07-26,302.445,1.77,-20.25,1.809,196.67,4.121,300779,惠城环保,szcy
118021,新致转债,2022-11-02,145.435,2.52,-3.88,4.849,81.34,5.351,688590,新致软件,shkc
113646,永吉转债,2022-05-17,133.865,3.09,-3.44,1.384,34.51,4.896,603058,永吉股份,shmb
123098,一品转债,2021-02-23,201.0,3.54,-12.67,4.047,37.94,3.685,300723,一品红,szcy
110083,苏租转债,2021-12-10,127.343,3.8,-3.2,47.649,1.77,4.471,600901,江苏金租,shmb
123150,九强转债,2022-07-20,134.196,3.95,-2.93,11.389,2.53,5.107,300406,九强生物,szcy
110068,龙净转债,2020-04-15,170.929,4.18,-13.68,18.76,3.83,2.833,600388,ST龙净,shmb
113044,大秦转债,2021-01-15,114.8,4.36,-0.35,299.872,0.82,3.559,601006,大秦铁路,shmb
128025,特一转债,2017-12-28,212.17,4.5,-93.18,2.115,785.72,0.537,002728,特一药业,szmb
128091,新天转债,2020-01-17,186.395,4.6,-16.58,1.526,39.75,2.605,002873,新天药业,szmb
113016,小康转债,2017-11-21,135.251,4.88,-47.53,2.031,205.29,0.455,601127,赛力斯,shmb
128114,正邦转债,2020-07-15,69.01,4.96,18.42,11.885,185.14,3.066,002157,*ST正邦,szmb
127069,小熊转债,2022-09-07,158.5,5.63,-5.12,5.08,8.28,5.225,002959,小熊电器,szmb
123156,博汇转债,2022-09-02,137.18,6.11,-2.37,3.97,3.45,5.236,300839,博汇股份,szcy
113025,明泰转债,2019-05-07,182.383,7.38,-23.03,9.84,8.34,1.879,601677,明泰铝业,shmb
128083,新北转债,2019-12-31,129.666,7.78,-5.22,8.768,3.44,2.556,002376,新北洋,szmb
113537,文灿转债,2019-07-05,232.876,8.08,-28.31,1.234,41.47,2.047,603348,文灿股份,shmb
127006,敖东转债,2018-05-11,122.694,8.15,-17.92,24.064,0.68,0.805,000623,吉林敖东,szmb
110084,贵燃转债,2022-01-18,123.977,8.56,-1.69,9.994,3.11,4.597,600903,贵州燃气,shmb
128128,齐翔转2,2020-09-15,127.48,9.08,-3.35,6.795,1.05,3.241,002408,齐翔腾达,szmb
127065,瑞鹄转债,2022-07-27,166.87,9.36,-6.19,4.392,27.84,5.085,002997,瑞鹄模具,szmb
123162,东杰转债,2022-11-04,128.5,9.37,-1.03,5.698,20.2,5.397,300486,东杰智能,szcy
123067,斯莱转债,2020-10-15,146.99,10.08,-6.05,2.395,15.88,3.318,300382,斯莱克,szcy
113057,中银转债,2022-05-10,126.703,10.56,-2.95,57.158,5.07,4.838,601881,中国银河,shmb
113626,伯特转债,2021-07-21,215.856,10.83,-13.41,7.806,6.46,4.099,603596,伯特利,shmb
128017,金禾转债,2017-11-27,132.471,10.98,-45.31,5.516,7.89,0.441,002597,金禾实业,szmb
113595,花王转债,2020-08-18,110.093,11.34,3.93,2.707,51.28,3.159,603007,ST花王,shmb
123025,精测转债,2019-04-19,215.0,11.43,-29.27,3.086,135.39,1.847,300567,精测电子,szcy
128087,孚日转债,2020-01-16,122.538,11.54,-3.73,6.444,3.8,2.57,002083,孚日股份,szmb
123014,凯发转债,2018-08-21,131.482,11.61,-110.75,1.16,27.38,0.175,300407,凯发电气,szcy
123063,大禹转债,2020-08-20,125.209,11.67,0.08,6.346,8.92,3.178,300021,大禹节水,szcy
113582,火炬转债,2020-06-23,165.601,11.85,-11.81,4.174,3.57,3.011,603678,火炬电子,shmb
127063,贵轮转债,2022-05-30,127.8,11.98,-2.2,17.996,1.01,4.915,000589,贵州轮胎,szmb
113615,金诚转债,2021-01-14,269.809,12.2,-21.21,7.638,2.49,3.584,603979,金诚信,shmb
128111,中矿转债,2020-07-07,549.823,12.52,-39.22,1.1,50.85,3.049,002738,中矿资源,szmb
127029,中钢转债,2021-04-23,172.859,12.53,-9.86,7.627,28.73,3.819,000928,中钢国际,szmb
113631,皖天转债,2021-12-10,124.001,12.54,-1.84,9.299,2.19,4.463,603689,皖天然气,shmb
123164,法本转债,2022-11-14,141.547,12.67,-2.84,6.006,7.87,5.416,300925,法本信息,szcy
128121,宏川转债,2020-08-07,127.795,13.17,-4.11,6.699,1.46,3.148,002930,宏川智慧,szmb
113594,淳中转债,2020-08-28,147.08,13.23,-6.33,2.997,31.82,3.159,603516,淳中科技,shmb
110048,福能转债,2018-12-28,183.059,13.8,-28.04,12.76,2.86,1.54,600483,福能股份,shmb
110074,精达转债,2020-09-21,138.032,13.8,-5.25,5.094,3.32,3.238,600577,精达股份,shmb
113598,法兰转债,2020-08-25,160.522,13.82,-8.9,2.752,18.34,3.186,603966,法兰泰克,shmb
123089,九洲转2,2021-01-08,128.376,14.0,-1.91,3.06,13.59,3.578,300040,九洲集团,szcy
128075,远东转债,2019-10-31,124.34,14.05,-3.97,5.433,14.22,2.337,002406,远东传动,szmb
110052,贵广转债,2019-03-29,144.95,14.06,-12.27,2.883,57.97,1.784,600996,贵广网络,shmb
128130,景兴转债,2020-09-18,117.911,14.22,-0.97,9.986,0.81,3.271,002067,景兴纸业,szmb
113527,维格转债,2019-02-19,133.578,14.24,-7.7,2.862,28.97,1.671,603518,锦泓集团,shmb
113628,晨丰转债,2021-09-17,120.576,14.72,0.12,4.15,66.01,4.252,603685,晨丰科技,shmb
110043,无锡转债,2018-03-14,112.285,14.73,-8.14,29.213,1.6,0.688,600908,无锡银行,shmb
110045,海澜转债,2018-07-31,122.109,14.9,-9.35,29.495,0.91,1.14,600398,海澜之家,shmb
123176,精测转2,2023-03-22,168.0,15.01,-6.22,12.76,23.86,5.778,300567,精测电子,szcy
113027,华钰转债,2019-07-10,145.389,15.07,-11.62,2.386,5.82,2.058,601020,华钰矿业,shmb
128034,江银转债,2018-02-14,111.3,15.2,-7.03,17.579,1.64,0.677,002807,江阴银行,szmb
128082,华锋转债,2020-01-06,140.207,15.32,-6.33,2.016,8.67,2.532,002806,华锋股份,szmb
128106,华统转债,2020-05-08,213.7,15.46,-20.51,2.869,7.97,2.879,002840,华统股份,szmb
128141,旺能转债,2021-01-18,124.534,15.47,-2.42,12.701,0.87,3.57,002034,旺能环境,szmb
113648,巨星转债,2022-05-17,131.661,15.67,-2.7,9.998,4.77,4.926,603477,巨星农牧,shmb
113058,友发转债,2022-04-26,119.101,15.93,-0.41,20.0,1.08,4.855,601686,友发集团,shmb
113021,中信转债,2019-03-19,117.042,15.96,-1.4,397.92,0.79,1.778,601998,中信银行,shmb
123141,宏丰转债,2022-04-08,122.409,15.96,-0.21,3.211,3.45,4.814,300283,温州宏丰,szcy
123112,万讯转债,2021-04-23,135.05,16.04,-2.37,2.266,43.55,3.874,300112,万讯自控,szcy
113039,嘉泽转债,2020-09-17,164.406,16.05,-11.26,2.879,13.94,3.252,601619,嘉泽新能,shmb
128048,张行转债,2018-11-29,115.4,16.17,-2.75,24.97,0.67,1.474,002839,张家港行,szmb
113504,艾华转债,2018-03-23,125.381,16.2,-19.95,4.627,2.4,0.775,603989,艾华集团,shmb
113505,杭电转债,2018-03-27,117.779,16.22,-10.59,7.497,5.89,0.784,603618,杭电股份,shmb
111012,福新转债,2023-02-07,128.51,16.23,-1.01,4.29,2.16,5.619,605488,福莱新材,shmb
123146,中环转2,2022-05-26,118.725,16.24,0.34,8.64,1.82,4.956,300692,中环环保,szcy
110060,天路转债,2019-11-28,131.488,16.26,-6.04,7.059,11.58,2.43,600326,西藏天路,shmb
128140,润建转债,2020-12-29,178.0,16.3,-11.97,10.894,5.67,3.534,002929,润建股份,szmb
123031,晶瑞转债,2019-09-26,405.094,16.35,-43.16,0.529,1023.31,2.268,300655,晶瑞电材,szcy
123158,宙邦转债,2022-10-21,134.251,16.62,-2.89,19.695,3.28,5.348,300037,新宙邦,szcy
118016,京源转债,2022-08-25,116.551,16.72,0.85,3.33,2.69,5.205,688096,京源环保,shkc
123140,天地转债,2022-03-30,140.287,16.78,-3.62,1.719,12.39,4.811,300743,天地数码,szcy
111007,永和转债,2022-11-01,138.792,16.8,-2.66,7.999,4.52,5.389,605020,永和股份,shmb
113664,大元转债,2023-01-04,151.394,16.98,-4.04,4.5,7.95,5.54,603757,大元泵业,shmb
123052,飞鹿转债,2020-07-03,140.381,17.07,-3.6,1.503,9.06,3.033,300665,飞鹿股份,szcy
110055,伊力转债,2019-04-04,209.548,17.23,-29.5,2.434,19.4,1.811,600197,伊力特,shmb
110080,东湖转债,2021-05-12,118.104,17.3,-0.85,15.491,1.54,3.885,600133,东湖高新,shmb
118003,华兴转债,2021-12-20,139.87,17.33,-4.35,7.998,8.41,4.521,688001,华兴源创,shkc
110058,永鼎转债,2019-05-08,145.859,17.62,-13.18,2.604,593.89,1.896,600105,永鼎股份,shmb
127036,三花转债,2021-06-30,138.5,17.72,-4.74,29.984,1.57,4.022,002050,三花智控,szmb
111005,富春转债,2022-07-25,123.291,18.22,-1.66,5.699,3.33,5.088,605189,富春染织,shmb
128095,恩捷转债,2020-02-28,183.012,18.23,-16.35,4.537,15.06,2.723,002812,恩捷股份,szmb
123085,万顺转2,2020-12-28,126.653,18.32,-3.39,5.712,3.88,3.551,300057,万顺新材,szcy
127027,能化转债,2021-01-22,121.3,18.44,-1.69,19.464,1.38,3.548,000552,甘肃能化,szmb
127012,招路转债,2019-04-30,122.18,18.46,-7.29,49.998,1.57,1.827,001965,招商公路,szmb
123177,测绘转债,2023-03-24,132.933,18.51,-1.77,4.067,294.66,5.778,300826,测绘股份,szcy
110090,爱迪转债,2022-10-28,132.474,18.64,-2.72,15.698,6.42,5.34,600933,爱柯迪,shmb
113649,丰山转债,2022-07-21,123.386,18.66,-0.49,4.994,2.9,5.099,603810,丰山集团,shmb
123080,海波转债,2020-12-22,133.491,19.04,-1.84,1.489,6.83,3.526,300517,海波重科,szcy
127032,苏行转债,2021-05-12,118.605,19.44,-0.92,49.995,0.99,3.888,002966,苏州银行,szmb
128033,迪龙转债,2018-01-29,124.0,19.45,-24.4,2.972,22.81,0.595,002658,雪迪龙,szmb
110063,鹰19转债,2020-01-03,115.546,19.53,-0.36,18.092,0.28,2.556,600567,山鹰国际,shmb
127014,北方转债,2019-11-21,225.2,19.58,-25.03,5.34,57.04,2.419,000065,北方国际,szmb
110047,山鹰转债,2018-12-10,115.661,19.65,-0.39,22.455,0.92,1.499,600567,山鹰国际,shmb
127020,中金转债,2020-08-14,122.96,19.79,-2.65,30.228,0.84,3.156,000060,中金岭南,szmb
111002,特纸转债,2021-12-30,124.508,19.86,-1.42,6.62,2.15,4.545,605007,五洲特纸,shmb
123130,设研转债,2021-12-02,127.0,20.12,-1.89,3.755,6.23,4.471,300732,设研院,szcy
118030,睿创转债,2023-02-10,150.0,20.22,-4.69,15.64,1.33,5.605,688002,睿创微纳,shkc
110079,杭银转债,2021-04-23,116.306,20.3,-1.04,149.985,0.64,3.849,600926,杭州银行,shmb
113051,节能转债,2021-07-22,127.755,20.42,-2.74,29.988,0.3,4.079,601016,节能风电,shmb
123075,贝斯转债,2020-11-23,128.79,20.5,-3.42,5.996,3.14,3.444,300580,贝斯特,szcy
113549,白电转债,2019-12-11,118.66,20.53,-1.88,8.047,3.44,2.479,603861,白云电器,shmb
128042,凯中转债,2018-09-03,119.394,20.83,-4.02,4.154,2.07,1.186,002823,凯中精密,szmb
113663,新化转债,2022-12-16,132.112,20.89,-1.71,6.5,2.76,5.518,603867,新化股份,shmb
118028,会通转债,2023-01-04,120.541,21.06,-0.04,8.3,0.7,5.54,688219,会通股份,shkc
128133,奇正转债,2020-10-27,123.097,21.07,-1.72,7.994,3.4,3.332,002287,奇正藏药,szmb
123160,泰福转债,2022-10-25,117.151,21.17,0.7,3.349,3.66,5.353,300992,泰福泵业,szcy
118023,广大转债,2022-11-09,124.771,21.19,-0.72,15.5,4.77,5.395,688186,广大特材,shkc
123147,中辰转债,2022-06-21,123.919,21.58,-0.63,5.705,1.64,5.025,300933,中辰股份,szcy
127018,本钢转债,2020-08-04,121.935,21.63,1.43,56.31,0.87,3.099,000761,本钢板材,szmb
113634,珀莱转债,2022-01-04,149.5,21.65,-4.84,7.508,2.15,4.545,603605,珀莱雅,shmb
123120,隆华转债,2021-08-23,129.681,21.79,-1.74,7.981,1.66,4.184,300263,隆华科技,szcy
123050,聚飞转债,2020-05-15,134.86,21.89,-3.46,3.746,18.31,2.89,300303,聚飞光电,szcy
123192,科思转债,2023-05-11,165.803,21.92,-5.38,7.249,18.19,5.89,300856,科思股份,szcy
110075,南航转债,2020-11-03,127.129,21.99,-4.38,58.96,1.19,3.395,600029,南方航空,shmb
128026,众兴转债,2018-01-03,113.981,22.11,-12.59,4.084,7.98,0.556,002772,众兴菌业,szmb
123071,天能转债,2020-11-25,138.805,22.12,-4.24,6.941,4.22,3.411,300569,天能重工,szcy
127070,大中转债,2022-10-11,127.21,22.34,-1.6,15.194,0.43,5.238,001203,大中矿业,szmb
128079,英联转债,2019-11-21,144.842,22.52,-8.98,1.516,121.6,2.414,002846,英联股份,szmb
123188,水羊转债,2023-04-25,141.145,22.71,-2.57,6.95,17.33,5.868,300740,水羊股份,szcy
123012,万顺转债,2018-08-29,148.6,23.21,-24.46,1.221,12.24,1.159,300057,万顺新材,szcy
127054,双箭转债,2022-03-15,119.996,23.45,-0.58,5.136,1.78,4.723,002381,双箭股份,szmb
113063,赛轮转债,2022-11-24,132.0,23.53,-2.53,20.088,1.9,5.449,601058,赛轮轮胎,shmb
123107,温氏转债,2021-04-21,125.11,23.62,-2.82,77.387,0.68,3.847,300498,温氏股份,szcy
110085,通22转债,2022-03-18,124.724,23.66,-2.03,119.84,0.97,4.759,600438,通威股份,shmb
128066,亚泰转债,2019-05-14,115.549,23.73,-0.71,4.61,3.08,1.901,002811,郑中设计,szmb
127078,优彩转债,2023-01-09,117.359,23.76,0.64,6.0,0.89,5.562,002998,优彩资源,szmb
128076,金轮转债,2019-11-08,126.57,23.8,-4.6,2.136,4.17,2.395,002722,物产金轮,szmb
113050,南银转债,2021-07-01,114.181,23.81,-0.71,166.16,0.34,4.06,601009,南京银行,shmb
113591,胜达转债,2020-07-23,120.017,23.84,0.27,4.743,2.13,3.104,603687,大胜达,shmb
127064,杭氧转债,2022-07-05,160.287,23.93,-6.97,11.368,2.38,4.992,002430,杭氧股份,szmb
113060,浙22转债,2022-07-08,120.278,24.0,-1.83,69.998,0.98,5.063,601878,浙商证券,shmb
123166,蒙泰转债,2022-11-25,125.1,24.72,-0.55,3.0,0.91,5.449,300876,蒙泰高新,szcy
127050,麒麟转债,2021-12-06,127.0,24.77,-2.28,21.989,0.91,4.471,002984,森麒麟,szmb
128119,龙大转债,2020-08-07,114.66,24.86,1.3,9.461,0.89,3.137,002726,龙大美食,szmb
111000,起帆转债,2021-06-17,135.539,24.97,-3.15,9.993,2.41,4.0,605222,起帆电缆,shmb
113526,联泰转债,2019-02-18,125.844,24.97,-8.94,1.927,3.4,1.668,603797,联泰环保,shmb
127052,西子转债,2022-01-24,125.641,24.98,-1.98,11.1,17.67,4.589,002534,西子洁能,szmb
127043,川恒转债,2021-09-23,127.65,25.21,-1.37,10.443,1.52,4.219,002895,川恒股份,szmb
113516,苏农转债,2018-08-20,113.225,25.24,-1.07,12.885,0.87,1.192,603323,苏农银行,shmb
113524,奇精转债,2019-01-07,119.242,25.26,-2.43,3.297,3.32,1.562,603677,奇精机械,shmb
123194,百洋转债,2023-05-05,129.4,25.32,-1.54,8.6,3.81,5.893,301015,百洋医药,szcy
113654,永02转债,2022-09-01,129.91,25.54,-1.83,6.104,2.71,5.203,603901,永创智能,shmb
110091,合力转债,2023-01-06,149.679,25.68,-5.08,20.48,1.21,5.559,600761,安徽合力,shmb
123078,飞凯转债,2020-12-16,145.403,25.83,-6.74,6.182,9.84,3.515,300398,飞凯材料,szcy
123170,南电转债,2022-12-15,133.8,25.83,-1.5,9.0,51.48,5.507,300346,南大光电,szcy
123184,天阳转债,2023-04-18,130.45,26.06,-1.4,9.75,3.02,5.836,300872,天阳科技,szcy
113647,禾丰转债,2022-05-18,116.802,26.15,0.0,14.67,1.92,4.918,603609,禾丰股份,shmb
123175,百畅转债,2023-03-17,121.6,26.24,-0.52,4.2,4.35,5.753,300614,百川畅银,szcy
113546,迪贝转债,2019-11-21,122.118,26.26,-1.22,2.297,3.97,2.416,603320,迪贝电气,shmb
128049,华源转债,2018-12-20,117.189,26.27,-2.98,3.631,6.47,1.515,002787,华源控股,szmb
123048,应急转债,2020-05-11,126.95,26.38,-4.53,3.79,23.07,2.879,300527,中船应急,szcy
113660,寿22转债,2022-12-12,146.413,26.43,-3.96,3.98,10.07,5.49,603896,寿仙谷,shmb
127074,麦米转2,2022-11-09,126.659,26.58,-0.97,12.2,0.74,5.395,002851,麦格米特,szmb
127037,银轮转债,2021-07-09,157.387,26.6,-7.67,6.994,3.46,4.033,002126,银轮股份,szmb
113519,长久转债,2018-11-30,119.468,26.7,-1.55,6.961,10.44,1.46,603569,长久物流,shmb
110092,三房转债,2023-02-07,116.371,26.87,-0.2,25.0,0.12,5.625,600370,三房巷,shmb
123127,耐普转债,2021-11-19,120.591,27.27,-0.93,3.998,1.88,4.436,300818,耐普矿机,szcy
123142,申昊转债,2022-04-11,126.0,27.31,-1.79,5.496,4.53,4.822,300853,申昊科技,szcy
113064,东材转债,2022-12-12,130.689,27.33,-2.02,14.0,0.57,5.488,601208,东材科技,shmb
