bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
123077,汉得转债,hdzz,144.986,0.48,300170,汉得信息,hdxx,14.34,1.34,3.21,9.82,146.03,0,-0.71,144.28,710301,szcy,C,2020-12-15,N,0,0,buy,AA,,6.87,12.77,7.9,buy,2026-11-23,3.644,9.366,92152.9,114382.5,68.92,-4.16,,0,,,15:34:15,00,R,Y,N,0,0,Y,,2021-05-27 开始转股,计算使用3.7年期 评级为AA 债参考YTM：3.7656,N,9.37,全价：144.986 最后更新：15:34:15,,,,,buy
123083,朗新转债,lxzz,174.0,-0.74,300682,朗新科技,lxkj,26.63,-0.37,4.15,15.2,175.2,0,-0.68,173.32,710301,szcy,C,2021-01-06,N,0,0,buy,AA,,10.64,19.76,1.2,buy,2026-12-09,,3.435,33206.54,36912.03,55.82,,,0,"最后交易日：2023年4月17日
最后转股日：2023年4月20日
赎回价：100.36元/张",R,15:34:27,00,R,Y,N,0,0,Y,,2021-06-15 开始转股,强赎登记日2023-04-17，赎回价格100.360元，如不考虑强赎纯债价值为100.01元，计算使用3.7年期 评级为AA 债参考YTM：3.7656,N,8.0,全价：174.000 最后更新：15:34:27,2023-04-17,100.360,如不考虑强赎期权价值为100.32元,,buy
128114,正邦转债,zbzz,92.629,1.41,002157,正邦科技,zbkj,3.37,2.12,146.52,3.62,93.09,0,-0.5,92.13,110702,szmb,C,2020-07-15,N,0,0,buy,B,,2.53,4.71,16.0,buy,2026-06-16,3.205,13.105,12155.4,16237.42,10.06,6.94,,0,,,15:34:51,00,R,Y,N,3,3,Y,转股价下修3次，成功下修3次,2020-12-23 开始转股,计算使用3.3年期 评级为B 债参考YTM：36.9371,N,16.0,全价：92.629 最后更新：15:34:51,,,,,buy
123057,美联转债,mlzz,169.175,0.22,300586,美联新材,mlxc,16.14,0.12,5.29,9.5,169.89,0,-0.42,168.76,220503,szcy,C,2020-07-27,N,0,0,buy,AA-,,6.65,12.35,1.4,buy,2026-06-30,,0.853,13088.44,13394.92,90.79,,,0,"最后交易日：2023年4月7日
最后转股日：2023年4月12日
赎回价：100.784元/张",R,15:34:09,00,R,Y,N,0,0,Y,,2021-01-07 开始转股,强赎登记日2023-04-07，赎回价格100.784元，如不考虑强赎纯债价值为96.89元，计算使用3.3年期 评级为AA- 债参考YTM：6.1371,N,2.07,全价：169.175 最后更新：15:34:09,2023-04-07,100.784,如不考虑强赎期权价值为99.16元,,buy
128078,太极转债,tjzz,189.0,-1.2,002368,太极股份,tjgf,41.79,-0.92,6.68,22.02,189.78,0,-0.41,188.59,710301,szmb,C,2019-11-08,N,0,0,buy,AA,,15.41,28.63,1.5,buy,2025-10-21,,3.609,80026.43,149472.96,117.65,,,0,"最后交易日：2023年4月17日
最后转股日：2023年4月20日
赎回价：100.75元/张",R,15:34:54,00,R,Y,N,0,0,Y,,2020-04-27 开始转股,强赎登记日2023-04-17，赎回价格100.750元，如不考虑强赎纯债价值为105.94元，计算使用2.6年期 评级为AA 债参考YTM：3.4285,N,10.0,全价：189.000 最后更新：15:34:54,2023-04-17,100.750,如不考虑强赎期权价值为110.63元,,buy
111006,嵘泰转债,rtzz,123.176,-3.14,605133,嵘泰股份,rtgf,33.72,-3.44,3.16,27.34,123.34,0,-0.13,123.05,280203,shmb,C,2022-09-21,N,0,0,buy,AA-,,19.14,35.54,23.6,buy,2028-08-11,5.362,3.719,20603.9,16250.24,44.82,-0.45,,0,公告要强赎,O,15:00:00,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-02-17 开始转股,已公告要强赎，如不考虑强赎纯债价值为86.54元，计算使用5.4年期 评级为AA- 债参考YTM：6.4684,N,6.507,全价：123.176 最后更新：15:00:00,,,如不考虑强赎期权价值为79.96元,,buy
110052,贵广转债,ggzz,159.085,-2.25,600996,贵广网络,ggwl,12.55,-2.33,3.05,7.94,158.06,0,0.65,159.74,721001,shmb,C,2019-03-29,N,0,0,buy,AA+,,5.56,10.32,1.9,buy,2025-03-05,1.923,2.891,19655.08,28977.89,42.65,-15.65,,0,,,14:59:57,00,R,Y,N,0,0,Y,,2019-09-11 开始转股,计算使用2.0年期 评级为AA+ 债参考YTM：3.0947,N,16.0,全价：159.085 最后更新：14:59:57,,,,,buy
123118,惠城转债,hczz,220.3,-2.01,300779,惠城环保,hchb,37.12,-3.23,5.45,17.06,217.58,0,1.25,221.55,760103,szcy,C,2021-07-26,N,0,0,buy,A+,,11.94,22.18,6.3,buy,2027-07-06,4.26,2.161,37758.25,9365.68,78.19,-13.34,,0,本次（2023年3月13日至2023年3月31日）不提前赎回，自2023年6月30日后首个交易日重新计算,G,15:34:39,00,,Y,N,0,0,Y,,2022-01-13 开始转股,计算使用4.3年期 评级为A+ 债参考YTM：8.6818,N,3.2,全价：220.300 最后更新：15:34:39,,,,,buy
110061,川投转债,ctzz,152.752,-0.05,600674,川投能源,ctny,13.21,-0.08,1.81,8.8,150.11,0,1.76,154.51,410102,shmb,C,2019-12-02,N,0,0,buy,AAA,,6.16,11.44,5.9,buy,2025-11-10,2.608,34.818,3402.41,8952.11,0.64,-12.22,,0,本次（2022年11月16日至2022年12月9日）不提前赎回，以2023年12月10日为首个交易日重新起算,G,14:59:53,00,R,Y,N,0,0,Y,,2020-05-15 开始转股,计算使用2.7年期 评级为AAA 债参考YTM：3.0580,N,40.0,全价：152.752 最后更新：14:59:53,,,,,buy
123116,万兴转债,wxzz,167.1,6.53,300624,万兴科技,wxkj,81.51,6.98,12.24,49.79,163.71,0,2.07,169.17,710402,szcy,C,2021-07-01,N,0,0,buy,A+,,34.85,64.73,4.1,buy,2027-06-08,4.184,3.777,382055.76,157748.02,621.21,-7.58,,0,,,15:34:45,00,,Y,N,0,0,Y,,2021-12-16 开始转股,计算使用4.2年期 评级为A+ 债参考YTM：8.6641,N,3.788,全价：167.100 最后更新：15:34:45,,,,,buy
