,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
code,801010,801030,801040,801050,801080,801110,801120,801130,801140,801150,801160,801170,801180,801200,801210,801230,801710,801720,801730,801740,801750,801760,801770,801780,801790,801880,801890,801950,801960,801970,801980
open,2933.81,3655.29,2203.19,4489.64,3699.05,7059.63,20987.83,1579.11,2256.54,8623.35,2315.91,2253.76,2691.80,2291.81,10206.93,2731.33,5571.53,2249.28,8327.39,1445.98,4964.37,797.10,2511.07,3260.30,1539.66,5176.01,1439.65,2524.04,2281.02,1765.73,6132.49
close,2938.90,3636.35,2201.77,4518.70,3751.47,6923.16,20912.88,1581.40,2246.95,8700.53,2351.12,2257.57,2666.93,2288.64,10248.06,2742.84,5548.19,2248.81,8415.26,1458.17,5020.96,823.57,2603.10,3244.97,1533.71,5234.20,1449.84,2523.76,2285.36,1765.89,6045.63
low,2904.19,3616.88,2195.73,4479.16,3675.51,6905.91,20876.34,1570.67,2232.13,8601.02,2311.84,2251.57,2658.39,2285.76,10168.85,2720.07,5544.79,2233.03,8311.82,1435.82,4920.30,789.47,2499.42,3243.34,1530.10,5175.90,1437.90,2510.95,2265.30,1760.87,6012.09
high,2942.73,3662.71,2206.62,4529.05,3751.47,7065.21,21065.39,1584.60,2258.74,8746.95,2351.12,2268.19,2694.72,2307.47,10271.32,2743.65,5602.27,2258.12,8425.05,1458.61,5034.88,825.79,2603.10,3267.13,1542.62,5236.06,1450.95,2538.46,2285.36,1770.07,6148.64
amount,12182.14,23156.72,3657.41,29824.36,91177.05,15524.14,21673.17,6141.55,12859.34,61757.89,20914.77,15902.48,14795.99,15480.57,12841.71,1488.34,9379.22,26183.36,64008.88,22011.06,122108.11,93766.56,58945.93,15270.06,25250.66,31538.57,44163.19,5048.38,7259.85,5979.36,4149.35
number,1309.94,2137.57,907.59,1884.05,5597.38,1445.86,703.48,883.92,1138.37,3287.66,2847.60,2318.02,2975.35,1465.04,1160.30,233.39,861.53,3148.11,3325.26,1197.62,6572.48,7529.62,3269.36,2535.33,2342.03,2598.13,3419.83,689.68,984.16,735.10,157.84
