bond_id,bond_nm,list_dt,price,premium_rt,ytm_rt,curr_iss_amt,turnover_rt,year_left,stock_id,stock_nm,market_cd
110084,贵燃转债,2022-01-18,133.139,-4.6,-3.24,9.994,112.61,4.584,600903,贵州燃气,shmb
113585,寿仙转债,2020-07-07,214.767,-0.52,,0.344,423.22,,603896,寿仙谷,shmb
110057,现代转债,2019-04-30,127.021,-0.5,,4.4,13.26,,600420,国药现代,shmb
127058,科伦转债,2022-04-20,203.764,-0.2,-11.8,20.62,6.56,4.808,002422,科伦药业,szmb
110061,川投转债,2019-12-02,173.506,0.58,-17.4,34.8,2.92,2.455,600674,川投能源,shmb
113044,大秦转债,2021-01-15,116.496,0.71,-0.77,299.872,1.25,3.545,601006,大秦铁路,shmb
127028,英特转债,2021-03-10,130.08,0.85,-4.07,5.757,7.83,3.605,000411,英特集团,szmb
110077,洪城转债,2020-12-17,135.813,0.89,-5.23,17.468,6.79,3.479,600461,洪城环境,shmb
110053,苏银转债,2019-04-03,127.165,0.95,-5.78,161.511,1.35,1.792,600919,江苏银行,shmb
123092,天壕转债,2021-01-15,240.921,1.01,-17.95,4.142,5.65,3.573,300332,天壕环境,szcy
128081,海亮转债,2019-12-16,126.752,1.19,-4.49,27.864,1.2,2.485,002203,海亮股份,szmb
123118,惠城转债,2021-07-26,315.308,1.21,-21.13,1.809,270.11,4.107,300779,惠城环保,szcy
123136,城市转债,2022-02-15,124.32,1.55,,2.355,213.27,,300778,新城市,szcy
113534,鼎胜转债,2019-04-30,226.046,1.78,-31.66,3.919,9.52,1.863,603876,鼎胜新材,shmb
118021,新致转债,2022-11-02,149.998,2.76,-4.46,4.848,65.27,5.337,688590,新致软件,shkc
128114,正邦转债,2020-07-15,66.449,2.8,20.05,11.876,77.0,3.052,002157,*ST正邦,szmb
123098,一品转债,2021-02-23,199.29,3.55,-12.51,4.047,21.99,3.671,300723,一品红,szcy
110083,苏租转债,2021-12-10,128.669,3.88,-3.44,47.649,0.51,4.458,600901,江苏金租,shmb
123156,博汇转债,2022-09-02,136.126,4.69,-2.23,3.97,13.09,5.222,300839,博汇股份,szcy
127069,小熊转债,2022-09-07,158.949,4.76,-5.18,5.08,14.55,5.211,002959,小熊电器,szmb
123150,九强转债,2022-07-20,134.4,4.99,-2.97,11.389,3.41,5.093,300406,九强生物,szcy
128025,特一转债,2017-12-28,208.083,5.58,-93.8,2.113,169.29,0.523,002728,特一药业,szmb
110068,龙净转债,2020-04-15,167.557,5.75,-13.13,18.76,2.33,2.819,600388,ST龙净,shmb
127006,敖东转债,2018-05-11,124.989,6.36,-20.19,24.064,1.78,0.792,000623,吉林敖东,szmb
128091,新天转债,2020-01-17,195.114,7.51,-18.14,1.525,108.08,2.592,002873,新天药业,szmb
127065,瑞鹄转债,2022-07-27,165.15,8.15,-6.01,4.392,13.75,5.071,002997,瑞鹄模具,szmb
113016,小康转债,2017-11-21,140.549,8.74,-55.74,2.02,154.16,0.441,601127,赛力斯,shmb
128083,新北转债,2019-12-31,129.759,9.23,-5.28,8.768,3.1,2.542,002376,新北洋,szmb
128087,孚日转债,2020-01-16,123.798,9.57,-4.14,6.443,7.05,2.556,002083,孚日股份,szmb
113631,皖天转债,2021-12-10,124.406,9.58,-1.92,9.299,5.21,4.449,603689,皖天然气,shmb
113025,明泰转债,2019-05-07,179.626,9.64,-22.53,9.84,3.1,1.866,601677,明泰铝业,shmb
123014,凯发转债,2018-08-21,130.646,9.97,-116.45,1.16,15.6,0.162,300407,凯发电气,szcy
123162,东杰转债,2022-11-04,128.598,10.27,-1.04,5.633,25.39,5.384,300486,东杰智能,szcy
123025,精测转债,2019-04-19,209.7,10.85,-28.48,3.086,67.21,1.833,300567,精测电子,szcy
128017,金禾转债,2017-11-27,129.15,10.99,-41.98,5.516,3.04,0.427,002597,金禾实业,szmb
113615,金诚转债,2021-01-14,272.777,11.26,-21.52,7.638,3.25,3.57,603979,金诚信,shmb
110048,福能转债,2018-12-28,190.184,11.43,-30.04,12.76,10.67,1.526,600483,福能股份,shmb
123164,法本转债,2022-11-14,146.066,11.48,-3.42,6.006,18.67,5.403,300925,法本信息,szcy
113057,中银转债,2022-05-10,127.446,11.6,-3.08,57.158,1.39,4.825,601881,中国银河,shmb
113505,杭电转债,2018-03-27,118.151,11.62,-11.16,7.497,17.21,0.77,603618,杭电股份,shmb
113646,永吉转债,2022-05-17,137.083,12.06,-3.93,1.384,29.43,4.882,603058,永吉股份,shmb
127012,招路转债,2019-04-30,125.4,12.25,-8.67,49.998,1.76,1.814,001965,招商公路,szmb
128128,齐翔转2,2020-09-15,123.107,12.26,-2.3,6.795,2.72,3.227,002408,齐翔腾达,szmb
128111,中矿转债,2020-07-07,539.18,12.36,-38.96,1.1,119.05,3.036,002738,中矿资源,szmb
123067,斯莱转债,2020-10-15,144.0,12.49,-5.48,2.395,53.51,3.304,300382,斯莱克,szcy
113626,伯特转债,2021-07-21,215.144,12.64,-13.39,7.806,9.4,4.085,603596,伯特利,shmb
113537,文灿转债,2019-07-05,237.257,12.76,-29.14,1.234,38.75,2.033,603348,文灿股份,shmb
113594,淳中转债,2020-08-28,145.782,13.15,-6.09,2.997,17.53,3.145,603516,淳中科技,shmb
128121,宏川转债,2020-08-07,128.766,13.21,-4.36,6.699,1.89,3.134,002930,宏川智慧,szmb
123031,晶瑞转债,2019-09-26,401.489,13.24,-43.12,0.529,172.16,2.255,300655,晶瑞电材,szcy
113582,火炬转债,2020-06-23,165.406,13.85,-12.01,4.173,189.35,2.997,603678,火炬电子,shmb
123063,大禹转债,2020-08-20,125.64,14.04,-0.04,6.346,6.12,3.164,300021,大禹节水,szcy
128034,江银转债,2018-02-14,110.395,14.26,-6.01,17.579,1.23,0.663,002807,江阴银行,szmb
127029,中钢转债,2021-04-23,176.5,14.36,-10.39,7.627,48.61,3.805,000928,中钢国际,szmb
123075,贝斯转债,2020-11-23,132.1,14.38,-4.16,5.996,17.55,3.43,300580,贝斯特,szcy
123089,九洲转2,2021-01-08,128.688,14.46,-1.98,3.06,8.2,3.564,300040,九洲集团,szcy
110074,精达转债,2020-09-21,136.941,14.49,-5.04,5.094,2.08,3.225,600577,精达股份,shmb
110043,无锡转债,2018-03-14,111.678,14.53,-7.54,29.213,0.71,0.674,600908,无锡银行,shmb
127063,贵轮转债,2022-05-30,128.0,14.55,-2.23,17.996,0.74,4.901,000589,贵州轮胎,szmb
113058,友发转债,2022-04-26,118.989,14.8,-0.39,20.0,1.15,4.841,601686,友发集团,shmb
113039,嘉泽转债,2020-09-17,168.491,14.9,-11.99,2.879,29.01,3.238,601619,嘉泽新能,shmb
128141,旺能转债,2021-01-18,124.807,14.91,-2.49,12.701,1.28,3.556,002034,旺能环境,szmb
113021,中信转债,2019-03-19,118.099,15.23,-1.92,397.92,0.41,1.764,601998,中信银行,shmb
