bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,short_maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
128111,中矿转债,zkzz,710.981,-1.92,002738,中矿资源,zkzy,72.22,-1.75,5.39,11.01,655.59,0,8.45,719.43,240504,szmb,C,2020-07-07,N,0,0,buy,AA-,,7.71,14.31,0.4,buy,26-06-10,3.222,1.147,51114.29,58794.75,61.67,,,0,本次（2022年8月29日至2022年9月19日）不提前赎回，以2023年9月19日后首个交易日起重新计算,G,11:23:36,00,R,Y,N,0,0,Y,,2020-12-17 开始转股,计算使用3.3年期 评级为AA- 债参考YTM：6.1299,N,8.0,全价：710.981 最后更新：11:23:36,,,,,buy
110077,洪城转债,hczz,126.852,0.08,600461,洪城环境,hchj,7.26,0.14,1.21,6.21,116.91,0,8.51,135.36,760102,shmb,C,2020-12-17,N,0,0,buy,AA+,,4.35,8.07,25.6,buy,26-11-19,3.666,17.672,1078.51,3067.51,0.48,-3.16,,0,,,11:23:20,00,,Y,N,0,0,Y,,2021-05-26 开始转股,计算使用3.7年期 评级为AA+ 债参考YTM：3.3155,N,18.0,全价：126.852 最后更新：11:23:20,,,,,buy
113626,伯特转债,btzz,214.948,3.61,603596,伯特利,btl,70.99,2.88,7.4,35.88,197.83,0,8.66,223.61,280203,shmb,C,2021-07-21,N,0,0,buy,AA,,25.12,46.64,2.7,buy,27-06-28,4.271,7.806,42748.37,41079.94,25.62,-12.82,,0,本次（2023年2月16日至2023年3月8日）不提前赎回，以2023年9月9日为首个交易日重新计算,G,11:23:33,00,R,Y,N,0,0,Y,,2022-01-05 开始转股,计算使用4.3年期 评级为AA 债参考YTM：3.8325,N,9.02,全价：214.948 最后更新：11:23:33,,,,,buy
127014,北方转债,bfzz,224.353,-3.3,000065,北方国际,bfgj,16.09,-3.54,2.06,7.8,206.03,0,8.9,233.25,620403,szmb,C,2019-11-21,N,0,0,buy,AA+,,5.46,10.14,3.7,buy,25-10-23,2.592,5.344,230535.29,133136.27,191.73,-23.44,,0,,,11:23:36,00,R,Y,N,0,0,Y,,2020-04-30 开始转股,计算使用2.6年期 评级为AA+ 债参考YTM：3.1622,N,5.78,全价：224.353 最后更新：11:23:36,,,,,buy
128087,孚日转债,frzz,126.01,0.01,002083,孚日股份,frgf,4.8,0.42,1.05,4.16,115.38,0,9.21,135.22,350102,szmb,C,2020-01-16,N,0,0,buy,AA-,,2.91,5.41,16.5,buy,25-12-17,2.742,6.445,2691.34,2781.39,3.3,-4.49,,0,,,11:23:36,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2020-06-23 开始转股,计算使用2.8年期 评级为AA- 债参考YTM：5.9607,N,6.5,全价：126.010 最后更新：11:23:36,,,,,buy
128128,齐翔转2,qxz2,137.813,-0.17,002408,齐翔腾达,qxtd,7.17,0.14,1.47,5.69,126.01,0,9.37,147.18,750303,szmb,C,2020-09-15,N,0,0,buy,AA,,3.98,7.4,3.4,buy,26-08-19,3.414,6.795,729.95,5103.62,0.78,-5.41,,0,,,11:23:30,00,R,Y,N,0,0,Y,,2021-02-26 开始转股,计算使用3.5年期 评级为AA 债参考YTM：3.7523,N,29.9,全价：137.813 最后更新：11:23:30,,,,,buy
128141,旺能转债,wnzz,129.262,0.25,002034,旺能环境,wnhj,18.51,0.0,1.37,15.67,118.12,0,9.43,138.69,760103,szmb,C,2021-01-18,N,0,0,buy,AA,,10.97,20.37,16.1,buy,26-12-17,3.742,12.701,2166.94,1692.08,1.32,-3.29,,0,,,11:23:36,00,R,Y,N,0,0,Y,,2021-06-23 开始转股,计算使用3.8年期 评级为AA 债参考YTM：3.7686,N,14.0,全价：129.262 最后更新：11:23:36,,,,,buy
113615,金诚转债,jczz,273.866,0.27,603979,金诚信,jcx,31.33,0.42,3.19,12.55,249.64,0,9.7,283.57,620404,shmb,C,2021-01-14,N,0,0,buy,AA,,8.79,16.32,4.1,buy,26-12-22,3.756,7.638,10666.68,6527.79,5.05,-20.65,,0,本次（2022年12月16日至2023年1月6日）不提前赎回，以2023年7月7日为首个交易日重新计算,G,11:23:34,00,R,Y,N,0,0,Y,,2021-06-29 开始转股,计算使用3.8年期 评级为AA 债参考YTM：3.7686,N,10.0,全价：273.866 最后更新：11:23:34,,,,,buy
128017,金禾转债,jhzz,158.262,0.03,002597,金禾实业,jhsy,30.77,0.07,2.61,21.33,144.26,0,9.71,167.97,220315,szmb,C,2017-11-27,N,0,0,buy,AA,,14.93,27.73,3.2,buy,23-11-01,0.614,5.518,804.77,4767.21,0.92,-53.78,,0,2022年1月25日公告：本次（2022年1月1日至2022年1月24日）不提前赎回，至存续期结束前2023年11月1日均不提前赎回,G,11:23:33,00,R,Y,N,0,0,Y,,2018-08-07 开始转股,计算使用0.7年期 评级为AA 债参考YTM：2.8622,N,6.0,全价：158.262 最后更新：11:23:33,,,,,buy
127065,瑞鹄转债,rhzz,170.521,0.13,002997,瑞鹄模具,rhmj,26.98,0.19,3.82,17.36,155.41,0,9.72,180.24,280205,szmb,C,2022-07-27,N,0,0,buy,A+,,12.15,22.57,14.2,buy,28-06-22,5.258,4.393,11119.15,7542.17,14.73,-6.38,,0,本次（2022年12月28日至2023年1月18日）不提前赎回，以2023年7月18日之后的首个交易日重新起算,G,11:23:36,00,R,Y,N,0,0,Y,,2022-12-28 开始转股,计算使用5.3年期 评级为A+ 债参考YTM：8.9233,N,4.398,全价：170.521 最后更新：11:23:36,,,,,buy
