bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
123077,汉得转债,hdzz,135.0,2.73,300170,汉得信息,hdxx,13.53,4.4,3.05,9.82,137.78,0,-2.02,132.98,710301,szcy,C,2020-12-15,N,0,0,buy,AA,,6.87,12.77,8.1,buy,2026-11-23,,9.173,93883.41,91815.22,77.4,,,0,"最后交易日：2023年4月24日
最后转股日：2023年4月27日
赎回价：100.43元/张",R,15:34:39,00,R,Y,N,0,0,Y,,2021-05-27 开始转股,强赎登记日2023-04-24，赎回价格100.430元，如不考虑强赎纯债价值为109.14元，计算使用3.7年期 评级为AA 债参考YTM：3.7602,N,9.37,全价：135.000 最后更新：15:34:39,2023-04-24,100.430,如不考虑强赎期权价值为69.92元,,buy
123057,美联转债,mlzz,162.606,-0.05,300586,美联新材,mlxc,15.55,0.13,5.2,9.5,163.68,0,-0.66,161.95,220503,szcy,C,2020-07-27,N,0,0,buy,AA-,,6.65,12.35,0.7,buy,2026-06-30,,0.454,7993.2,10536.02,107.92,,,0,"最后交易日：2023年4月7日
最后转股日：2023年4月12日
赎回价：100.784元/张",R,15:34:27,00,R,Y,N,0,0,Y,,2021-01-07 开始转股,强赎登记日2023-04-07，赎回价格100.784元，如不考虑强赎纯债价值为97.00元，计算使用3.3年期 评级为AA- 债参考YTM：6.1212,N,2.07,全价：162.606 最后更新：15:34:27,2023-04-07,100.784,如不考虑强赎期权价值为93.61元,,buy
123083,朗新转债,lxzz,166.488,0.29,300682,朗新科技,lxkj,25.37,0.36,4.0,15.2,166.91,0,-0.25,166.24,710301,szcy,C,2021-01-06,N,0,0,buy,AA,,10.64,19.76,0.9,buy,2026-12-09,,2.367,7580.03,22175.38,19.21,,,0,"最后交易日：2023年4月17日
最后转股日：2023年4月20日
赎回价：100.36元/张",R,15:34:48,00,R,Y,N,0,0,Y,,2021-06-15 开始转股,强赎登记日2023-04-17，赎回价格100.360元，如不考虑强赎纯债价值为100.07元，计算使用3.7年期 评级为AA 债参考YTM：3.7602,N,8.0,全价：166.488 最后更新：15:34:48,2023-04-17,100.360,如不考虑强赎期权价值为92.94元,,buy
113595,花王转债,hwzz,129.919,-0.92,603007,ST花王,sthw,5.83,-1.52,4.36,4.48,130.13,0,-0.17,129.75,620307,shmb,C,2020-08-18,N,0,0,buy,B+,,3.14,5.82,15.4,buy,2026-07-20,3.288,3.029,16730.6,3595.73,42.45,-1.44,,0,,,14:59:59,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-01-27 开始转股,,N,3.3,全价：129.919 最后更新：14:59:59,,,,,buy
128078,太极转债,tjzz,207.5,1.08,002368,太极股份,tjgf,45.75,1.28,7.5,22.02,207.77,0,-0.13,207.37,710301,szmb,C,2019-11-08,N,0,0,buy,AA,,15.41,28.63,0.9,buy,2025-10-21,,2.43,152299.71,128243.37,306.9,,,0,"最后交易日：2023年4月17日
最后转股日：2023年4月20日
赎回价：100.75元/张",R,15:34:39,00,R,Y,N,0,0,Y,,2020-04-27 开始转股,强赎登记日2023-04-17，赎回价格100.750元，如不考虑强赎纯债价值为106.01元，计算使用2.6年期 评级为AA 债参考YTM：3.4163,N,10.0,全价：207.500 最后更新：15:34:39,2023-04-17,100.750,如不考虑强赎期权价值为126.75元,,buy
128114,正邦转债,zbzz,93.7,-0.81,002157,正邦科技,zbkj,3.36,-1.18,146.09,3.62,92.82,0,0.95,94.65,110702,szmb,C,2020-07-15,N,0,0,buy,B,,2.53,4.71,14.5,buy,2026-06-16,3.195,11.899,4333.05,12549.91,3.88,6.57,,0,,,15:34:30,00,R,Y,N,3,3,Y,转股价下修3次，成功下修3次,2020-12-23 开始转股,计算使用3.2年期 评级为B 债参考YTM：36.8997,N,16.0,全价：93.700 最后更新：15:34:30,,,,,buy
123112,万讯转债,wxzz,139.32,1.2,300112,万讯自控,wxzk,12.02,5.81,2.91,8.73,137.69,0,1.19,140.51,640107,szcy,C,2021-04-23,N,0,0,buy,AA-,,6.11,11.35,8.7,buy,2027-04-07,4.0,2.452,63172.15,33792.23,183.29,-3.06,,0,,,15:34:51,00,,Y,N,0,0,Y,,2021-10-14 开始转股,计算使用4.0年期 评级为AA- 债参考YTM：6.1865,N,2.457,全价：139.320 最后更新：15:34:51,,,,,buy
110061,川投转债,ctzz,153.987,0.32,600674,川投能源,ctny,13.36,0.07,1.84,8.8,151.82,0,1.43,155.42,410102,shmb,C,2019-12-02,N,0,0,buy,AAA,,6.16,11.44,5.8,buy,2025-11-10,2.597,34.818,4653.07,7277.93,0.87,-12.54,,0,本次（2022年11月16日至2022年12月9日）不提前赎回，以2023年12月10日为首个交易日重新起算,G,14:59:52,00,R,Y,N,0,0,Y,,2020-05-15 开始转股,计算使用2.6年期 评级为AAA 债参考YTM：3.0305,N,40.0,全价：153.987 最后更新：14:59:52,,,,,buy
111006,嵘泰转债,rtzz,117.137,0.11,605133,嵘泰股份,rtgf,31.52,0.54,2.97,27.34,115.29,0,1.6,118.74,280203,shmb,C,2022-09-21,N,0,0,buy,AA-,,19.14,35.54,22.6,buy,2028-08-11,5.351,3.57,10008.42,9845.08,23.88,0.51,,0,公告要强赎,O,15:00:00,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-02-17 开始转股,已公告要强赎，如不考虑强赎纯债价值为86.65元，计算使用5.4年期 评级为AA- 债参考YTM：6.4562,N,6.507,全价：117.137 最后更新：15:00:00,,,如不考虑强赎期权价值为73.16元,,buy
123118,惠城转债,hczz,238.5,3.72,300779,惠城环保,hchb,40.03,2.43,5.94,17.06,234.64,0,1.64,240.14,760103,szcy,C,2021-07-26,N,0,0,buy,A+,,11.94,22.18,5.8,buy,2027-07-06,4.249,2.161,86288.88,12210.05,169.62,-15.01,,0,本次（2023年3月13日至2023年3月31日）不提前赎回，自2023年6月30日后首个交易日重新计算,G,15:35:00,00,,Y,N,0,0,Y,,2022-01-13 开始转股,计算使用4.3年期 评级为A+ 债参考YTM：8.6658,N,3.2,全价：238.500 最后更新：15:35:00,,,,,buy
