bond_id,bond_nm,list_dt,price,premium_rt,ytm_rt,curr_iss_amt,turnover_rt,year_left,stock_id,stock_nm,market_cd
123098,一品转债,2021-02-23,181.71,0.1,-10.38,4.047,46.79,3.627,300723,一品红,szcy
118021,新致转债,2022-11-02,217.594,0.25,-11.1,4.848,146.85,5.293,688590,新致软件,shkc
123092,天壕转债,2021-01-15,222.66,0.66,-16.27,4.132,3.37,3.529,300332,天壕环境,szcy
123118,惠城转债,2021-07-26,321.801,1.08,-21.73,1.808,63.67,4.063,300779,惠城环保,szcy
110053,苏银转债,2019-04-03,127.343,1.64,-6.0,161.511,1.04,1.748,600919,江苏银行,shmb
110061,川投转债,2019-12-02,172.599,2.14,-17.51,34.8,4.84,2.411,600674,川投能源,shmb
127069,小熊转债,2022-09-07,162.522,2.62,-5.64,5.08,11.95,5.167,002959,小熊电器,szmb
113628,晨丰转债,2021-09-17,131.052,2.9,-1.89,4.149,53.05,4.195,603685,晨丰科技,shmb
123075,贝斯转债,2020-11-23,150.1,2.95,-7.82,5.996,35.18,3.386,300580,贝斯特,szcy
127058,科伦转债,2022-04-20,187.87,3.02,-10.38,20.342,6.0,4.764,002422,科伦药业,szmb
113044,大秦转债,2021-01-15,115.503,3.05,-0.54,299.872,0.58,3.501,601006,大秦铁路,shmb
128081,海亮转债,2019-12-16,127.672,3.3,-4.85,27.864,1.18,2.441,002203,海亮股份,szmb
113016,小康转债,2017-11-21,157.424,3.6,,1.371,2418.07,,601127,赛力斯,shmb
110068,龙净转债,2020-04-15,173.512,3.78,-14.42,18.759,1.61,2.775,600388,ST龙净,shmb
123164,法本转债,2022-11-14,148.38,3.88,-3.74,6.001,15.14,5.359,300925,法本信息,szcy
123014,凯发转债,2018-08-21,133.107,4.34,-172.88,1.157,522.83,0.118,300407,凯发电气,szcy
127065,瑞鹄转债,2022-07-27,174.0,4.52,-7.05,4.392,30.59,5.027,002997,瑞鹄模具,szmb
113534,鼎胜转债,2019-04-30,245.458,5.1,-35.3,3.919,16.68,1.819,603876,鼎胜新材,shmb
127063,贵轮转债,2022-05-30,132.5,5.81,-2.96,17.996,2.27,4.858,000589,贵州轮胎,szmb
110083,苏租转债,2021-12-10,129.205,6.86,-3.57,47.649,0.76,4.414,600901,江苏金租,shmb
123136,城市转债,2022-02-15,134.3,6.9,,1.797,216.45,,300778,新城市,szcy
128083,新北转债,2019-12-31,131.601,7.19,-5.91,8.768,2.38,2.499,002376,新北洋,szmb
128114,正邦转债,2020-07-15,84.7,7.58,10.76,11.7,59.47,3.008,002157,*ST正邦,szmb
127028,英特转债,2021-03-10,129.58,7.77,-4.01,5.757,4.69,3.562,000411,英特集团,szmb
128111,中矿转债,2020-07-07,563.888,8.24,-40.36,1.1,40.69,2.992,002738,中矿资源,szmb
123150,九强转债,2022-07-20,137.666,8.32,-3.47,11.21,5.89,5.049,300406,九强生物,szcy
128025,特一转债,2017-12-28,196.26,8.72,-95.91,2.113,105.24,0.48,002728,特一药业,szmb
110084,贵燃转债,2022-01-18,126.552,8.82,-2.16,9.181,3.62,4.54,600903,贵州燃气,shmb
123156,博汇转债,2022-09-02,130.869,8.96,-1.49,3.97,3.97,5.178,300839,博汇股份,szcy
127012,招路转债,2019-04-30,125.46,9.69,-8.91,49.998,1.15,1.77,001965,招商公路,szmb
113535,大业转债,2019-06-03,124.543,10.18,-12.95,4.996,12.8,0.901,603278,大业股份,shmb
127036,三花转债,2021-06-30,143.04,10.64,-5.66,29.983,3.52,3.964,002050,三花智控,szmb
113626,伯特转债,2021-07-21,235.634,10.69,-15.47,7.806,12.38,4.041,603596,伯特利,shmb
110052,贵广转债,2019-03-29,153.359,10.7,-15.49,2.883,332.04,1.726,600996,贵广网络,shmb
127006,敖东转债,2018-05-11,124.6,10.7,-21.03,24.064,0.58,0.748,000623,吉林敖东,szmb
128087,孚日转债,2020-01-16,123.0,10.75,-3.97,6.443,3.66,2.512,002083,孚日股份,szmb
127029,中钢转债,2021-04-23,192.11,11.07,-12.53,7.627,16.4,3.762,000928,中钢国际,szmb
113595,花王转债,2020-08-18,105.892,11.1,5.35,2.707,17.99,3.101,603007,ST花王,shmb
128082,华锋转债,2020-01-06,154.08,11.65,-10.04,2.015,114.76,2.474,002806,华锋股份,szmb
128091,新天转债,2020-01-17,191.091,11.9,-17.74,1.525,31.01,2.548,002873,新天药业,szmb
113648,巨星转债,2022-05-17,135.948,12.06,-3.38,9.998,7.12,4.869,603477,巨星农牧,shmb
110077,洪城转债,2020-12-17,146.81,12.14,-7.44,17.468,1.88,3.436,600461,洪城环境,shmb
113631,皖天转债,2021-12-10,124.45,12.54,-1.94,9.299,1.96,4.406,603689,皖天然气,shmb
123025,精测转债,2019-04-19,233.399,13.3,-33.22,3.086,71.74,1.789,300567,精测电子,szcy
110043,无锡转债,2018-03-14,109.702,13.33,-5.36,29.213,0.66,0.63,600908,无锡银行,shmb
128128,齐翔转2,2020-09-15,128.055,13.49,-3.55,6.795,1.79,3.184,002408,齐翔腾达,szmb
128017,金禾转债,2017-11-27,125.858,13.53,-41.13,5.516,2.76,0.384,002597,金禾实业,szmb
128121,宏川转债,2020-08-07,130.197,13.65,-4.77,6.699,2.29,3.09,002930,宏川智慧,szmb
110045,海澜转债,2018-07-31,125.581,13.83,-12.16,29.495,1.0,1.082,600398,海澜之家,shmb
128106,华统转债,2020-05-08,195.301,13.94,-18.28,2.869,14.67,2.822,002840,华统股份,szmb
113594,淳中转债,2020-08-28,142.203,14.54,-5.4,2.997,14.71,3.101,603516,淳中科技,shmb
128034,江银转债,2018-02-14,109.638,14.86,-5.36,17.579,0.91,0.619,002807,江阴银行,szmb
113057,中银转债,2022-05-10,131.658,14.88,-3.78,57.158,3.96,4.781,601881,中国银河,shmb
127018,本钢转债,2020-08-04,125.28,15.08,0.52,56.31,2.08,3.041,000761,本钢板材,szmb
113063,赛轮转债,2022-11-24,138.35,15.16,-3.42,20.087,3.08,5.392,601058,赛轮轮胎,shmb
110090,爱迪转债,2022-10-28,136.887,15.31,-3.37,15.698,3.31,5.282,600933,爱柯迪,shmb
123162,东杰转债,2022-11-04,127.41,15.38,-0.88,5.633,5.51,5.34,300486,东杰智能,szcy
113527,维格转债,2019-02-19,132.932,15.41,-7.68,2.862,9.43,1.614,603518,锦泓集团,shmb
123050,聚飞转债,2020-05-15,144.99,15.9,-6.0,3.746,51.89,2.833,300303,聚飞光电,szcy
123080,海波转债,2020-12-22,140.46,15.96,-3.33,1.489,10.5,3.469,300517,海波重科,szcy
113505,杭电转债,2018-03-27,118.999,16.25,-12.73,7.497,4.14,0.726,603618,杭电股份,shmb
113537,文灿转债,2019-07-05,272.176,16.53,-34.69,1.233,295.83,1.989,603348,文灿股份,shmb
110080,东湖转债,2021-05-12,120.699,16.7,-1.44,15.491,1.09,3.827,600133,东湖高新,shmb
128130,景兴转债,2020-09-18,118.9,16.84,-1.25,9.986,1.47,3.214,002067,景兴纸业,szmb
123140,天地转债,2022-03-30,150.0,16.89,-5.04,1.719,19.25,4.753,300743,天地数码,szcy
123063,大禹转债,2020-08-20,126.3,16.94,-0.21,6.346,0.92,3.121,300021,大禹节水,szcy
127037,银轮转债,2021-07-09,175.978,17.21,-10.42,6.994,17.79,3.975,002126,银轮股份,szmb
128042,凯中转债,2018-09-03,125.5,17.33,-8.41,4.154,16.46,1.129,002823,凯中精密,szmb
113582,火炬转债,2020-06-23,145.999,17.42,-8.33,4.173,5.22,2.953,603678,火炬电子,shmb
127020,中金转债,2020-08-14,127.034,17.46,-3.73,30.228,1.44,3.099,000060,中金岭南,szmb
128075,远东转债,2019-10-31,128.6,17.54,-5.5,5.433,5.42,2.28,002406,远东传动,szmb
128044,岭南转债,2018-09-04,125.092,17.55,-11.39,6.568,47.45,1.17,002717,岭南股份,szmb
113025,明泰转债,2019-05-07,212.914,17.95,-29.92,9.84,4.72,1.822,601677,明泰铝业,shmb
123176,精测转2,2023-03-22,183.712,17.97,-7.75,12.76,9.88,5.721,300567,精测电子,szcy
128048,张行转债,2018-11-29,116.164,18.07,-3.32,24.97,0.42,1.416,002839,张家港行,szmb
110074,精达转债,2020-09-21,140.004,18.16,-5.78,5.094,2.27,3.181,600577,精达股份,shmb
