Date,Close
2023-04-24,402.5162
2023-04-21,405.4483
2023-04-20,409.0161
2023-04-19,411.2341
2023-04-18,412.6720
2023-04-17,412.1653
2023-04-14,410.5024
2023-04-13,408.6771
2023-04-12,409.5746
2023-04-11,408.8139
2023-04-10,409.8653
2023-04-07,410.4914
2023-04-06,408.8914
2023-04-04,408.5568
2023-04-03,408.6783
2023-03-31,406.5161
2023-03-30,405.0733
2023-03-29,404.5233
2023-03-28,405.2045
2023-03-27,406.1294
2023-03-24,406.4184
,
